atom_id,id,element
TR015_14,TR015,c
TR015_15,TR015,c
TR015_16,TR015,c
TR015_17,TR015,h
TR015_18,TR015,h
TR015_19,TR015,h
TR015_2,TR015,c
TR015_20,TR015,h
TR015_21,TR015,h
TR015_22,TR015,h
TR015_23,TR015,h
TR015_24,TR015,h
TR015_3,TR015,n
TR015_4,TR015,cl
TR015_5,TR015,cl
TR015_6,TR015,cl
TR015_7,TR015,c
TR015_8,TR015,c
TR015_9,TR015,o
TR017_1,TR017,c
TR017_10,TR017,cl
TR017_11,TR017,cl
TR017_12,TR017,cl
TR017_13,TR017,c
TR017_14,TR017,cl
TR017_15,TR017,cl
TR017_16,TR017,c
TR017_17,TR017,c
TR017_18,TR017,c
TR017_19,TR017,c
TR017_2,TR017,c
TR017_20,TR017,h
TR017_21,TR017,h
TR017_22,TR017,h
TR017_23,TR017,h
TR017_24,TR017,h
TR017_25,TR017,h
TR017_26,TR017,h
TR017_27,TR017,h
TR017_3,TR017,c
TR017_4,TR017,c
TR017_5,TR017,c
TR017_6,TR017,c
TR017_7,TR017,c
TR017_8,TR017,o
TR017_9,TR017,cl
TR019_1,TR019,c
TR019_10,TR019,c
TR019_11,TR019,c
TR019_12,TR019,c
TR019_13,TR019,c
TR019_14,TR019,n
TR019_15,TR019,n
TR019_16,TR019,c
TR019_17,TR019,h
TR019_18,TR019,h
TR019_19,TR019,h
TR019_2,TR019,n
TR019_20,TR019,h
TR019_21,TR019,h
TR019_22,TR019,h
TR019_23,TR019,h
TR019_24,TR019,h
TR019_25,TR019,h
TR019_26,TR019,h
TR019_27,TR019,h
TR019_28,TR019,h
TR019_29,TR019,h
TR019_3,TR019,o
TR019_30,TR019,h
TR019_31,TR019,h
TR019_32,TR019,h
TR019_33,TR019,h
TR019_34,TR019,h
TR019_35,TR019,h
TR019_36,TR019,cl
TR019_37,TR019,h
TR019_4,TR019,c
TR019_5,TR019,c
TR019_6,TR019,c
TR019_7,TR019,c
TR019_8,TR019,c
TR019_9,TR019,c
TR020_1,TR020,s
TR020_10,TR020,c
TR020_11,TR020,c
TR020_12,TR020,c
TR020_13,TR020,c
TR020_14,TR020,c
TR020_15,TR020,c
TR020_16,TR020,n
TR020_17,TR020,n
TR020_18,TR020,h
TR020_19,TR020,h
TR020_2,TR020,o
TR020_20,TR020,h
TR020_21,TR020,h
TR020_22,TR020,h
TR020_23,TR020,h
TR020_24,TR020,h
TR020_25,TR020,h
TR020_26,TR020,h
TR020_27,TR020,h
TR020_28,TR020,h
TR020_29,TR020,h
TR020_3,TR020,o
TR020_4,TR020,c
TR020_5,TR020,c
TR020_6,TR020,c
TR020_7,TR020,c
TR020_8,TR020,c
TR020_9,TR020,c
TR021_1,TR021,c
TR021_10,TR021,c
TR021_11,TR021,c
TR021_12,TR021,c
TR021_13,TR021,cl
TR021_14,TR021,cl
TR021_15,TR021,cl
TR021_16,TR021,cl
TR021_17,TR021,cl
TR021_18,TR021,cl
TR021_19,TR021,h
TR021_2,TR021,c
TR021_20,TR021,h
TR021_21,TR021,h
TR021_22,TR021,h
TR021_23,TR021,h
TR021_24,TR021,h
TR021_25,TR021,h
TR021_26,TR021,h
TR021_27,TR021,c
TR021_28,TR021,c
TR021_29,TR021,c
TR021_3,TR021,c
TR021_30,TR021,c
TR021_31,TR021,c
TR021_32,TR021,c
TR021_33,TR021,c
TR021_34,TR021,c
TR021_35,TR021,c
TR021_36,TR021,c
TR021_37,TR021,c
TR021_38,TR021,c
TR021_39,TR021,o
TR021_4,TR021,c
TR021_40,TR021,cl
TR021_41,TR021,cl
TR021_42,TR021,cl
TR021_43,TR021,cl
TR021_44,TR021,cl
TR021_45,TR021,cl
TR021_46,TR021,h
TR021_47,TR021,h
TR021_48,TR021,h
TR021_49,TR021,h
TR021_5,TR021,c
TR021_50,TR021,h
TR021_51,TR021,h
TR021_52,TR021,h
TR021_53,TR021,h
TR021_6,TR021,c
TR021_7,TR021,c
TR021_8,TR021,c
TR021_9,TR021,c
TR023_1,TR023,c
TR023_10,TR023,n
TR023_11,TR023,c
TR023_12,TR023,cl
TR023_13,TR023,cl
TR023_14,TR023,h
TR023_15,TR023,h
TR023_16,TR023,h
TR023_2,TR023,o
TR023_3,TR023,o
TR023_4,TR023,c
TR023_5,TR023,c
TR023_6,TR023,n
TR023_7,TR023,cl
TR023_8,TR023,c
TR023_9,TR023,c
TR024_1,TR024,c
TR024_10,TR024,o
TR024_11,TR024,s
TR024_12,TR024,o
TR024_13,TR024,o
TR024_14,TR024,c
TR024_15,TR024,c
TR024_16,TR024,c
TR024_17,TR024,c
TR024_18,TR024,c
TR024_19,TR024,c
TR024_2,TR024,s
TR024_20,TR024,h
TR024_21,TR024,h
TR024_22,TR024,h
TR024_23,TR024,h
TR024_24,TR024,h
TR024_25,TR024,h
TR024_26,TR024,h
TR024_27,TR024,h
TR024_28,TR024,h
TR024_29,TR024,h
TR024_3,TR024,c
TR024_30,TR024,h
TR024_31,TR024,h
TR024_32,TR024,h
TR024_33,TR024,h
TR024_34,TR024,h
TR024_35,TR024,h
TR024_36,TR024,h
TR024_37,TR024,h
TR024_38,TR024,h
TR024_4,TR024,c
TR024_5,TR024,p
TR024_6,TR024,c
TR024_7,TR024,o
TR024_8,TR024,o
TR024_9,TR024,o
TR025_1,TR025,c
TR025_10,TR025,n
TR025_11,TR025,cl
TR025_12,TR025,cl
TR025_13,TR025,h
TR025_14,TR025,h
TR025_15,TR025,h
TR025_16,TR025,h
TR025_17,TR025,h
TR025_2,TR025,c
TR025_3,TR025,c
TR025_4,TR025,c
TR025_5,TR025,c
TR025_6,TR025,c
TR025_7,TR025,c
TR025_8,TR025,o
TR025_9,TR025,o
TR028_1,TR028,c
TR028_10,TR028,h
TR028_11,TR028,h
TR028_2,TR028,c
TR028_3,TR028,c
TR028_4,TR028,br
TR028_5,TR028,br
TR028_6,TR028,cl
TR028_7,TR028,h
TR028_8,TR028,h
TR028_9,TR028,h
TR029_1,TR029,n
TR029_10,TR029,c
TR029_11,TR029,c
TR029_12,TR029,c
TR029_13,TR029,o
TR029_14,TR029,c
TR029_15,TR029,o
TR029_16,TR029,c
TR029_17,TR029,c
TR029_18,TR029,c
TR029_19,TR029,c
TR029_2,TR029,o
TR029_20,TR029,c
TR029_21,TR029,h
TR029_22,TR029,h
TR029_23,TR029,h
TR029_24,TR029,h
TR029_25,TR029,h
TR029_26,TR029,h
TR029_27,TR029,h
TR029_28,TR029,h
TR029_29,TR029,h
TR029_3,TR029,o
TR029_4,TR029,c
TR029_5,TR029,c
TR029_6,TR029,c
TR029_7,TR029,c
TR029_8,TR029,c
TR029_9,TR029,c
TR030_1,TR030,cl
TR030_10,TR030,n
TR030_11,TR030,c
TR030_12,TR030,c
TR030_13,TR030,c
TR030_14,TR030,c
TR030_15,TR030,c
TR030_16,TR030,c
TR030_17,TR030,c
TR030_18,TR030,cl
TR030_19,TR030,c
TR030_2,TR030,c
TR030_20,TR030,n
TR030_21,TR030,o
TR030_22,TR030,c
TR030_23,TR030,o
TR030_24,TR030,n
TR030_25,TR030,c
TR030_26,TR030,n
TR030_27,TR030,c
TR030_28,TR030,c
TR030_29,TR030,c
TR030_3,TR030,c
TR030_30,TR030,c
TR030_31,TR030,c
TR030_32,TR030,c
TR030_33,TR030,c
TR030_34,TR030,c
TR030_35,TR030,n
TR030_36,TR030,o
TR030_37,TR030,c
TR030_38,TR030,o
TR030_39,TR030,c
TR030_4,TR030,c
TR030_40,TR030,c
TR030_41,TR030,c
TR030_42,TR030,c
TR030_43,TR030,c
TR030_44,TR030,c
TR030_45,TR030,h
TR030_46,TR030,h
TR030_47,TR030,h
TR030_48,TR030,h
TR030_49,TR030,h
TR030_5,TR030,c
TR030_50,TR030,h
TR030_51,TR030,h
TR030_52,TR030,h
TR030_53,TR030,h
TR030_54,TR030,h
TR030_55,TR030,h
TR030_56,TR030,h
TR030_57,TR030,h
TR030_58,TR030,h
TR030_59,TR030,h
TR030_6,TR030,n
TR030_60,TR030,h
TR030_61,TR030,h
TR030_62,TR030,h
TR030_63,TR030,h
TR030_64,TR030,h
TR030_65,TR030,h
TR030_66,TR030,h
TR030_67,TR030,h
TR030_68,TR030,h
TR030_69,TR030,h
TR030_7,TR030,c
TR030_70,TR030,h
TR030_8,TR030,c
TR030_9,TR030,c
TR031_1,TR031,o
TR031_10,TR031,c
TR031_11,TR031,o
TR031_12,TR031,o
TR031_13,TR031,c
TR031_14,TR031,c
TR031_15,TR031,c
TR031_16,TR031,c
TR031_17,TR031,c
TR031_18,TR031,c
TR031_19,TR031,h
TR031_2,TR031,c
TR031_20,TR031,h
TR031_21,TR031,h
TR031_22,TR031,h
TR031_23,TR031,h
TR031_24,TR031,h
TR031_25,TR031,h
TR031_26,TR031,h
TR031_27,TR031,h
TR031_28,TR031,h
TR031_29,TR031,h
TR031_3,TR031,n
TR031_30,TR031,h
TR031_31,TR031,h
TR031_32,TR031,h
TR031_33,TR031,h
TR031_34,TR031,h
TR031_35,TR031,h
TR031_36,TR031,h
TR031_4,TR031,n
TR031_5,TR031,c
TR031_6,TR031,c
TR031_7,TR031,c
TR031_8,TR031,c
TR031_9,TR031,s
TR032_1,TR032,c
TR032_10,TR032,c
TR032_11,TR032,c
TR032_12,TR032,cl
TR032_13,TR032,c
TR032_14,TR032,cl
TR032_15,TR032,h
TR032_16,TR032,h
TR032_17,TR032,h
TR032_18,TR032,h
TR032_19,TR032,h
TR032_2,TR032,n
TR032_20,TR032,h
TR032_21,TR032,h
TR032_22,TR032,h
TR032_23,TR032,h
TR032_24,TR032,h
TR032_25,TR032,h
TR032_26,TR032,h
TR032_27,TR032,h
TR032_28,TR032,h
TR032_29,TR032,h
TR032_3,TR032,p
TR032_4,TR032,c
TR032_5,TR032,n
TR032_6,TR032,o
TR032_7,TR032,o
TR032_8,TR032,c
TR032_9,TR032,c
TR034_1,TR034,c
TR034_10,TR034,o
TR034_11,TR034,o
TR034_12,TR034,o
TR034_13,TR034,o
TR034_14,TR034,c
TR034_15,TR034,c
TR034_16,TR034,c
TR034_17,TR034,c
TR034_18,TR034,c
TR034_19,TR034,c
TR034_2,TR034,c
TR034_20,TR034,c
TR034_21,TR034,f
TR034_22,TR034,f
TR034_23,TR034,f
TR034_24,TR034,h
TR034_25,TR034,h
TR034_26,TR034,h
TR034_27,TR034,h
TR034_28,TR034,h
TR034_29,TR034,h
TR034_3,TR034,c
TR034_30,TR034,h
TR034_31,TR034,h
TR034_32,TR034,h
TR034_33,TR034,h
TR034_34,TR034,h
TR034_35,TR034,h
TR034_36,TR034,h
TR034_37,TR034,h
TR034_38,TR034,h
TR034_39,TR034,h
TR034_4,TR034,c
TR034_5,TR034,c
TR034_6,TR034,c
TR034_7,TR034,n
TR034_8,TR034,n
TR034_9,TR034,n
TR036_1,TR036,c
TR036_10,TR036,n
TR036_11,TR036,h
TR036_12,TR036,h
TR036_13,TR036,h
TR036_14,TR036,h
TR036_15,TR036,h
TR036_16,TR036,h
TR036_17,TR036,h
TR036_2,TR036,c
TR036_3,TR036,c
TR036_4,TR036,c
TR036_5,TR036,c
TR036_6,TR036,c
TR036_7,TR036,c
TR036_8,TR036,o
TR036_9,TR036,o
TR039_1,TR039,c
TR039_10,TR039,c
TR039_11,TR039,c
TR039_12,TR039,c
TR039_13,TR039,c
TR039_14,TR039,o
TR039_15,TR039,c
TR039_16,TR039,o
TR039_17,TR039,c
TR039_18,TR039,o
TR039_19,TR039,c
TR039_2,TR039,o
TR039_20,TR039,c
TR039_21,TR039,c
TR039_22,TR039,o
TR039_23,TR039,c
TR039_24,TR039,c
TR039_25,TR039,c
TR039_26,TR039,o
TR039_27,TR039,c
TR039_28,TR039,c
TR039_29,TR039,c
TR039_3,TR039,c
TR039_30,TR039,h
TR039_31,TR039,h
TR039_32,TR039,h
TR039_33,TR039,h
TR039_34,TR039,h
TR039_35,TR039,h
TR039_36,TR039,h
TR039_37,TR039,h
TR039_38,TR039,h
TR039_39,TR039,h
TR039_4,TR039,c
TR039_40,TR039,h
TR039_41,TR039,h
TR039_42,TR039,h
TR039_43,TR039,h
TR039_44,TR039,h
TR039_45,TR039,h
TR039_46,TR039,h
TR039_47,TR039,h
TR039_48,TR039,h
TR039_49,TR039,h
TR039_5,TR039,c
TR039_50,TR039,h
TR039_51,TR039,h
TR039_52,TR039,h
TR039_53,TR039,h
TR039_54,TR039,h
TR039_55,TR039,h
TR039_56,TR039,h
TR039_57,TR039,h
TR039_58,TR039,h
TR039_59,TR039,h
TR039_6,TR039,c
TR039_60,TR039,h
TR039_61,TR039,h
TR039_62,TR039,h
TR039_7,TR039,c
TR039_8,TR039,o
TR039_9,TR039,n
TR040_1,TR040,c
TR040_10,TR040,o
TR040_11,TR040,c
TR040_12,TR040,cl
TR040_13,TR040,c
TR040_14,TR040,o
TR040_15,TR040,c
TR040_16,TR040,cl
TR040_17,TR040,c
TR040_18,TR040,cl
TR040_19,TR040,cl
TR040_2,TR040,c
TR040_20,TR040,c
TR040_21,TR040,cl
TR040_22,TR040,h
TR040_23,TR040,h
TR040_24,TR040,h
TR040_25,TR040,h
TR040_26,TR040,h
TR040_27,TR040,h
TR040_3,TR040,c
TR040_4,TR040,c
TR040_5,TR040,c
TR040_6,TR040,c
TR040_7,TR040,c
TR040_8,TR040,cl
TR040_9,TR040,c
TR041_1,TR041,c
TR041_10,TR041,n
TR041_11,TR041,cl
TR041_12,TR041,cl
TR041_13,TR041,cl
TR041_14,TR041,cl
TR041_2,TR041,c
TR041_3,TR041,c
TR041_4,TR041,c
TR041_5,TR041,c
TR041_6,TR041,c
TR041_7,TR041,c
TR041_8,TR041,c
TR041_9,TR041,n
TR045_1,TR045,s
TR045_10,TR045,o
TR045_11,TR045,c
TR045_12,TR045,c
TR045_13,TR045,c
TR045_14,TR045,c
TR045_15,TR045,c
TR045_16,TR045,cl
TR045_17,TR045,c
TR045_18,TR045,h
TR045_19,TR045,h
TR045_2,TR045,n
TR045_20,TR045,h
TR045_21,TR045,h
TR045_22,TR045,h
TR045_23,TR045,h
TR045_24,TR045,h
TR045_25,TR045,h
TR045_26,TR045,h
TR045_27,TR045,h
TR045_28,TR045,h
TR045_29,TR045,h
TR045_3,TR045,o
TR045_30,TR045,h
TR045_4,TR045,o
TR045_5,TR045,c
TR045_6,TR045,c
TR045_7,TR045,c
TR045_8,TR045,c
TR045_9,TR045,n
TR046_1,TR046,c
TR046_10,TR046,n
TR046_11,TR046,c
TR046_12,TR046,h
TR046_13,TR046,h
TR046_14,TR046,h
TR046_15,TR046,h
TR046_16,TR046,h
TR046_17,TR046,h
TR046_18,TR046,h
TR046_19,TR046,h
TR046_2,TR046,n
TR046_20,TR046,h
TR046_21,TR046,h
TR046_3,TR046,s
TR046_4,TR046,c
TR046_5,TR046,c
TR046_6,TR046,c
TR046_7,TR046,c
TR046_8,TR046,c
TR046_9,TR046,c
TR047_1,TR047,s
TR047_10,TR047,c
TR047_11,TR047,c
TR047_12,TR047,c
TR047_13,TR047,c
TR047_14,TR047,n
TR047_15,TR047,n
TR047_16,TR047,h
TR047_17,TR047,h
TR047_18,TR047,h
TR047_19,TR047,h
TR047_2,TR047,c
TR047_20,TR047,h
TR047_21,TR047,h
TR047_22,TR047,h
TR047_23,TR047,h
TR047_24,TR047,h
TR047_25,TR047,h
TR047_26,TR047,h
TR047_27,TR047,h
TR047_3,TR047,c
TR047_4,TR047,c
TR047_5,TR047,c
TR047_6,TR047,c
TR047_7,TR047,c
TR047_8,TR047,c
TR047_9,TR047,c
TR049_1,TR049,n
TR049_10,TR049,c
TR049_11,TR049,c
TR049_12,TR049,c
TR049_13,TR049,c
TR049_14,TR049,o
TR049_15,TR049,c
TR049_16,TR049,o
TR049_17,TR049,o
TR049_18,TR049,c
TR049_19,TR049,c
TR049_2,TR049,c
TR049_20,TR049,c
TR049_21,TR049,c
TR049_22,TR049,c
TR049_23,TR049,c
TR049_24,TR049,c
TR049_25,TR049,h
TR049_26,TR049,h
TR049_27,TR049,h
TR049_28,TR049,h
TR049_29,TR049,h
TR049_3,TR049,c
TR049_30,TR049,h
TR049_31,TR049,h
TR049_32,TR049,h
TR049_33,TR049,h
TR049_34,TR049,h
TR049_35,TR049,h
TR049_36,TR049,h
TR049_37,TR049,h
TR049_38,TR049,h
TR049_39,TR049,h
TR049_4,TR049,c
TR049_40,TR049,h
TR049_41,TR049,h
TR049_42,TR049,h
TR049_43,TR049,h
TR049_5,TR049,c
TR049_6,TR049,c
TR049_7,TR049,c
TR049_8,TR049,c
TR049_9,TR049,c
TR050_1,TR050,c
TR050_10,TR050,o
TR050_11,TR050,c
TR050_12,TR050,c
TR050_13,TR050,o
TR050_14,TR050,c
TR050_15,TR050,n
TR050_16,TR050,o
TR050_17,TR050,c
TR050_18,TR050,c
TR050_19,TR050,c
TR050_2,TR050,c
TR050_20,TR050,c
TR050_21,TR050,c
TR050_22,TR050,c
TR050_23,TR050,h
TR050_24,TR050,h
TR050_25,TR050,h
TR050_26,TR050,h
TR050_27,TR050,h
TR050_28,TR050,h
TR050_29,TR050,h
TR050_3,TR050,c
TR050_30,TR050,h
TR050_31,TR050,h
TR050_32,TR050,h
TR050_33,TR050,h
TR050_34,TR050,h
TR050_35,TR050,h
TR050_36,TR050,h
TR050_37,TR050,h
TR050_38,TR050,h
TR050_39,TR050,h
TR050_4,TR050,c
TR050_40,TR050,h
TR050_41,TR050,h
TR050_42,TR050,h
TR050_5,TR050,c
TR050_6,TR050,c
TR050_7,TR050,s
TR050_8,TR050,n
TR050_9,TR050,o
TR053_1,TR053,n
TR053_10,TR053,h
TR053_11,TR053,h
TR053_12,TR053,h
TR053_2,TR053,o
TR053_3,TR053,o
TR053_4,TR053,c
TR053_5,TR053,s
TR053_6,TR053,c
TR053_7,TR053,c
TR053_8,TR053,n
TR053_9,TR053,n
TR054_1,TR054,n
TR054_10,TR054,n
TR054_11,TR054,c
TR054_12,TR054,o
TR054_13,TR054,o
TR054_14,TR054,h
TR054_15,TR054,h
TR054_16,TR054,h
TR054_17,TR054,h
TR054_18,TR054,h
TR054_19,TR054,h
TR054_2,TR054,o
TR054_3,TR054,o
TR054_4,TR054,c
TR054_5,TR054,c
TR054_6,TR054,c
TR054_7,TR054,c
TR054_8,TR054,c
TR054_9,TR054,c
TR055_1,TR055,cl
TR055_2,TR055,c
TR055_3,TR055,c
TR055_4,TR055,cl
TR055_5,TR055,h
TR055_6,TR055,h
TR055_7,TR055,h
TR055_8,TR055,h
TR056_1,TR056,n
TR056_10,TR056,c
TR056_11,TR056,c
TR056_12,TR056,c
TR056_13,TR056,c
TR056_14,TR056,c
TR056_15,TR056,c
TR056_16,TR056,c
TR056_17,TR056,h
TR056_18,TR056,h
TR056_19,TR056,h
TR056_2,TR056,c
TR056_20,TR056,h
TR056_21,TR056,h
TR056_22,TR056,h
TR056_23,TR056,h
TR056_24,TR056,h
TR056_25,TR056,h
TR056_26,TR056,h
TR056_27,TR056,h
TR056_28,TR056,h
TR056_29,TR056,h
TR056_3,TR056,c
TR056_30,TR056,h
TR056_31,TR056,h
TR056_32,TR056,h
TR056_33,TR056,h
TR056_34,TR056,h
TR056_35,TR056,h
TR056_36,TR056,h
TR056_37,TR056,h
TR056_38,TR056,h
TR056_39,TR056,h
TR056_4,TR056,n
TR056_40,TR056,h
TR056_5,TR056,s
TR056_6,TR056,c
TR056_7,TR056,c
TR056_8,TR056,c
TR056_9,TR056,c
TR058_1,TR058,p
TR058_10,TR058,c
TR058_11,TR058,c
TR058_12,TR058,h
TR058_13,TR058,h
TR058_14,TR058,h
TR058_15,TR058,h
TR058_16,TR058,h
TR058_17,TR058,h
TR058_18,TR058,h
TR058_19,TR058,h
TR058_2,TR058,s
TR058_20,TR058,h
TR058_21,TR058,h
TR058_22,TR058,h
TR058_23,TR058,h
TR058_3,TR058,n
TR058_4,TR058,n
TR058_5,TR058,n
TR058_6,TR058,c
TR058_7,TR058,c
TR058_8,TR058,c
TR058_9,TR058,c
TR059_1,TR059,c
TR059_10,TR059,n
TR059_100,TR059,h
TR059_101,TR059,h
TR059_102,TR059,h
TR059_11,TR059,c
TR059_12,TR059,c
TR059_13,TR059,o
TR059_14,TR059,c
TR059_15,TR059,c
TR059_16,TR059,c
TR059_17,TR059,c
TR059_18,TR059,c
TR059_19,TR059,c
TR059_2,TR059,c
TR059_20,TR059,c
TR059_21,TR059,cl
TR059_22,TR059,cl
TR059_23,TR059,c
TR059_24,TR059,c
TR059_25,TR059,c
TR059_26,TR059,n
TR059_27,TR059,c
TR059_28,TR059,c
TR059_29,TR059,c
TR059_3,TR059,o
TR059_30,TR059,c
TR059_31,TR059,cl
TR059_32,TR059,cl
TR059_33,TR059,c
TR059_34,TR059,c
TR059_35,TR059,c
TR059_36,TR059,c
TR059_37,TR059,c
TR059_38,TR059,c
TR059_39,TR059,c
TR059_4,TR059,c
TR059_40,TR059,c
TR059_41,TR059,c
TR059_42,TR059,c
TR059_43,TR059,c
TR059_44,TR059,c
TR059_45,TR059,c
TR059_46,TR059,c
TR059_47,TR059,c
TR059_48,TR059,c
TR059_49,TR059,c
TR059_5,TR059,c
TR059_50,TR059,c
TR059_51,TR059,o
TR059_52,TR059,o
TR059_53,TR059,h
TR059_54,TR059,h
TR059_55,TR059,h
TR059_56,TR059,h
TR059_57,TR059,h
TR059_58,TR059,h
TR059_59,TR059,h
TR059_6,TR059,c
TR059_60,TR059,h
TR059_61,TR059,h
TR059_62,TR059,h
TR059_63,TR059,h
TR059_64,TR059,h
TR059_65,TR059,h
TR059_66,TR059,h
TR059_67,TR059,h
TR059_68,TR059,h
TR059_69,TR059,h
TR059_7,TR059,c
TR059_70,TR059,h
TR059_71,TR059,h
TR059_72,TR059,h
TR059_73,TR059,h
TR059_74,TR059,h
TR059_75,TR059,h
TR059_76,TR059,h
TR059_77,TR059,h
TR059_78,TR059,h
TR059_79,TR059,h
TR059_8,TR059,c
TR059_80,TR059,h
TR059_81,TR059,h
TR059_82,TR059,h
TR059_83,TR059,h
TR059_84,TR059,h
TR059_85,TR059,h
TR059_86,TR059,h
TR059_87,TR059,h
TR059_88,TR059,h
TR059_89,TR059,h
TR059_9,TR059,c
