id,ind1,inda,logp,lumo,class
d107,1.0,0.0,4.18,-2.791,pos
d108,1.0,0.0,4.69,-1.676,pos
d109,1.0,0.0,6.07,-2.284,pos
d110,0.0,0.0,3.0,-2.14,neg
d111,0.0,0.0,1.56,-1.687,neg
d112,1.0,0.0,3.81,-1.208,pos
d113,0.0,0.0,1.84,-1.491,neg
d114,0.0,0.0,2.68,-1.148,neg
d116,0.0,0.0,1.8,-1.37,neg
d117,0.0,0.0,3.26,-2.142,pos
d118,1.0,0.0,6.57,-1.8,pos
d119,0.0,0.0,3.26,-1.995,neg
d121,1.0,0.0,4.18,-2.68,pos
d122,1.0,0.0,5.41,-1.61,pos
d124,0.0,0.0,1.89,-1.596,neg
d125,1.0,0.0,4.99,-1.256,pos
d126,1.0,0.0,2.29,-2.718,pos
d127,0.0,0.0,3.26,-2.196,pos
d129,0.0,0.0,1.46,-1.592,neg
d130,0.0,0.0,1.73,-0.93,neg
d131,0.0,0.0,2.83,-1.538,neg
d132,0.0,0.0,1.74,-1.499,neg
d133,1.0,0.0,7.13,-1.492,neg
d134,1.0,0.0,4.73,-1.951,pos
d135,0.0,0.0,2.74,-1.562,neg
d136,1.0,0.0,4.66,-1.685,pos
d138,0.0,0.0,1.77,-1.157,neg
d142,1.0,0.0,6.68,-1.474,neg
d143,0.0,0.0,2.35,-1.046,neg
d144,0.0,0.0,2.9,-1.288,neg
d146,0.0,0.0,2.68,-1.102,pos
d147,0.0,0.0,1.94,-0.937,neg
d148,1.0,0.0,3.36,-2.158,pos
d149,1.0,0.0,2.29,-2.87,pos
d150,0.0,0.0,-0.02,-0.995,neg
d151,0.0,0.0,1.75,-1.411,pos
d152,1.0,0.0,4.44,-2.191,pos
d153,1.0,0.0,3.85,-1.151,pos
d155,0.0,0.0,1.72,-1.737,neg
d156,0.0,0.0,1.92,-0.854,neg
d157,1.0,0.0,4.19,-1.623,pos
d158,1.0,0.0,3.08,-1.34,pos
d159,1.0,0.0,4.19,-1.742,pos
d160,0.0,0.0,2.78,-1.691,neg
d161,1.0,0.0,5.61,-2.221,pos
d162,0.0,0.0,3.0,-2.687,pos
d163,1.0,0.0,4.44,-1.974,pos
d164,1.0,0.0,4.44,-2.306,pos
d166,1.0,0.0,4.42,-1.709,pos
d167,1.0,0.0,4.44,-2.31,pos
d168,0.0,0.0,2.03,-1.112,neg
d169,0.0,0.0,1.49,-2.17,pos
d170,1.0,0.0,2.52,-2.113,pos
d171,0.0,0.0,3.0,-2.508,pos
d172,0.0,0.0,2.06,-1.487,pos
d174,1.0,0.0,4.44,-2.209,pos
d175,1.0,0.0,7.84,-1.616,neg
d176,0.0,0.0,2.74,-1.304,pos
d177,1.0,0.0,2.29,-2.614,pos
d178,0.0,0.0,1.77,-1.213,pos
d179,0.0,0.0,2.73,-1.889,neg
d181,0.0,0.0,0.53,-0.727,neg
d182,0.0,0.0,1.99,-1.366,neg
d183,1.0,0.0,4.44,-2.294,pos
d185,0.0,0.0,1.89,-2.09,neg
d186,0.0,0.0,2.07,-0.574,neg
d188,1.0,0.0,3.51,-0.872,neg
