id,date,amount,duration,payments
122,950402,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
123,950410,'a13=38772<x<=68952','a14=18<x<=30','a15=_inf<x<=2163'
124,950411,'a13=93288<x<=155028','a14=18<x<=30','a15=3537_5<x<=4974_5'
125,950413,'a13=93288<x<=155028','a14=18<x<=30','a15=4974_5<x<=6717'
126,950415,'a13=38772<x<=68952','a14=_inf<x<=18','a15=4974_5<x<=6717'
127,950428,'a13=155028<x<=+inf','a14=30<x<=42','a15=6717<x<=+inf'
128,950501,'a13=155028<x<=+inf','a14=18<x<=30','a15=6717<x<=+inf'
129,950508,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=2163<x<=3537_5'
13,931201,'a13=155028<x<=+inf','a14=54<x<=+inf','a15=6717<x<=+inf'
130,950529,'a13=68952<x<=93288','a14=30<x<=42','a15=_inf<x<=2163'
131,950613,'a13=_inf<x<=38772','a14=18<x<=30','a15=_inf<x<=2163'
132,950613,'a13=93288<x<=155028','a14=18<x<=30','a15=4974_5<x<=6717'
133,950623,'a13=155028<x<=+inf','a14=30<x<=42','a15=6717<x<=+inf'
134,950624,'a13=155028<x<=+inf','a14=18<x<=30','a15=6717<x<=+inf'
135,950710,'a13=93288<x<=155028','a14=18<x<=30','a15=3537_5<x<=4974_5'
136,950801,'a13=38772<x<=68952','a14=18<x<=30','a15=_inf<x<=2163'
137,950805,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
138,950811,'a13=93288<x<=155028','a14=18<x<=30','a15=3537_5<x<=4974_5'
139,950818,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
14,931208,'a13=93288<x<=155028','a14=30<x<=42','a15=2163<x<=3537_5'
140,950829,'a13=38772<x<=68952','a14=18<x<=30','a15=_inf<x<=2163'
141,950922,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=2163<x<=3537_5'
142,951008,'a13=_inf<x<=38772','a14=30<x<=42','a15=_inf<x<=2163'
143,951020,'a13=155028<x<=+inf','a14=30<x<=42','a15=4974_5<x<=6717'
144,951028,'a13=155028<x<=+inf','a14=30<x<=42','a15=6717<x<=+inf'
145,951031,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=2163<x<=3537_5'
146,951031,'a13=68952<x<=93288','a14=30<x<=42','a15=_inf<x<=2163'
147,951102,'a13=38772<x<=68952','a14=_inf<x<=18','a15=2163<x<=3537_5'
148,951104,'a13=93288<x<=155028','a14=18<x<=30','a15=3537_5<x<=4974_5'
149,951112,'a13=38772<x<=68952','a14=30<x<=42','a15=_inf<x<=2163'
15,931208,'a13=93288<x<=155028','a14=30<x<=42','a15=2163<x<=3537_5'
150,951122,'a13=93288<x<=155028','a14=30<x<=42','a15=2163<x<=3537_5'
151,951128,'a13=93288<x<=155028','a14=18<x<=30','a15=4974_5<x<=6717'
152,951128,'a13=_inf<x<=38772','a14=18<x<=30','a15=_inf<x<=2163'
153,951204,'a13=155028<x<=+inf','a14=30<x<=42','a15=4974_5<x<=6717'
154,951211,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=2163<x<=3537_5'
155,951212,'a13=68952<x<=93288','a14=18<x<=30','a15=3537_5<x<=4974_5'
156,951212,'a13=93288<x<=155028','a14=18<x<=30','a15=3537_5<x<=4974_5'
157,960101,'a13=155028<x<=+inf','a14=18<x<=30','a15=6717<x<=+inf'
158,960119,'a13=68952<x<=93288','a14=18<x<=30','a15=3537_5<x<=4974_5'
159,960208,'a13=38772<x<=68952','a14=_inf<x<=18','a15=4974_5<x<=6717'
16,931209,'a13=38772<x<=68952','a14=_inf<x<=18','a15=3537_5<x<=4974_5'
160,960210,'a13=38772<x<=68952','a14=18<x<=30','a15=2163<x<=3537_5'
161,960212,'a13=68952<x<=93288','a14=18<x<=30','a15=2163<x<=3537_5'
162,960410,'a13=38772<x<=68952','a14=_inf<x<=18','a15=3537_5<x<=4974_5'
163,960429,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=2163<x<=3537_5'
164,960429,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=2163<x<=3537_5'
165,960502,'a13=155028<x<=+inf','a14=18<x<=30','a15=6717<x<=+inf'
166,960514,'a13=38772<x<=68952','a14=18<x<=30','a15=2163<x<=3537_5'
167,960629,'a13=38772<x<=68952','a14=18<x<=30','a15=_inf<x<=2163'
168,960715,'a13=155028<x<=+inf','a14=18<x<=30','a15=4974_5<x<=6717'
169,960725,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
17,931213,'a13=155028<x<=+inf','a14=54<x<=+inf','a15=3537_5<x<=4974_5'
170,960728,'a13=155028<x<=+inf','a14=18<x<=30','a15=6717<x<=+inf'
171,960804,'a13=155028<x<=+inf','a14=18<x<=30','a15=4974_5<x<=6717'
172,960806,'a13=38772<x<=68952','a14=_inf<x<=18','a15=3537_5<x<=4974_5'
173,960809,'a13=38772<x<=68952','a14=_inf<x<=18','a15=3537_5<x<=4974_5'
174,960822,'a13=68952<x<=93288','a14=18<x<=30','a15=3537_5<x<=4974_5'
175,960822,'a13=93288<x<=155028','a14=18<x<=30','a15=4974_5<x<=6717'
176,960911,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=2163<x<=3537_5'
177,960922,'a13=68952<x<=93288','a14=18<x<=30','a15=2163<x<=3537_5'
178,960925,'a13=_inf<x<=38772','a14=18<x<=30','a15=_inf<x<=2163'
179,960926,'a13=93288<x<=155028','a14=_inf<x<=18','a15=6717<x<=+inf'
18,931216,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=2163<x<=3537_5'
180,961003,'a13=93288<x<=155028','a14=_inf<x<=18','a15=6717<x<=+inf'
181,961020,'a13=93288<x<=155028','a14=18<x<=30','a15=3537_5<x<=4974_5'
182,961029,'a13=68952<x<=93288','a14=_inf<x<=18','a15=6717<x<=+inf'
183,961029,'a13=68952<x<=93288','a14=_inf<x<=18','a15=6717<x<=+inf'
184,961103,'a13=38772<x<=68952','a14=18<x<=30','a15=2163<x<=3537_5'
185,961106,'a13=68952<x<=93288','a14=_inf<x<=18','a15=6717<x<=+inf'
186,961109,'a13=93288<x<=155028','a14=18<x<=30','a15=3537_5<x<=4974_5'
187,961111,'a13=93288<x<=155028','a14=18<x<=30','a15=3537_5<x<=4974_5'
188,961119,'a13=68952<x<=93288','a14=_inf<x<=18','a15=4974_5<x<=6717'
189,961128,'a13=38772<x<=68952','a14=_inf<x<=18','a15=4974_5<x<=6717'
19,931221,'a13=68952<x<=93288','a14=_inf<x<=18','a15=6717<x<=+inf'
190,961211,'a13=93288<x<=155028','a14=18<x<=30','a15=4974_5<x<=6717'
191,961227,'a13=93288<x<=155028','a14=18<x<=30','a15=4974_5<x<=6717'
192,970121,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=2163<x<=3537_5'
193,970124,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
194,970202,'a13=38772<x<=68952','a14=_inf<x<=18','a15=3537_5<x<=4974_5'
195,970209,'a13=93288<x<=155028','a14=_inf<x<=18','a15=6717<x<=+inf'
196,970307,'a13=38772<x<=68952','a14=_inf<x<=18','a15=4974_5<x<=6717'
197,970307,'a13=38772<x<=68952','a14=_inf<x<=18','a15=4974_5<x<=6717'
198,970317,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
199,970318,'a13=68952<x<=93288','a14=_inf<x<=18','a15=4974_5<x<=6717'
2,930711,'a13=155028<x<=+inf','a14=30<x<=42','a15=3537_5<x<=4974_5'
20,931223,'a13=68952<x<=93288','a14=18<x<=30','a15=2163<x<=3537_5'
200,970320,'a13=38772<x<=68952','a14=_inf<x<=18','a15=4974_5<x<=6717'
201,970328,'a13=68952<x<=93288','a14=_inf<x<=18','a15=6717<x<=+inf'
202,970329,'a13=68952<x<=93288','a14=_inf<x<=18','a15=6717<x<=+inf'
203,970401,'a13=68952<x<=93288','a14=_inf<x<=18','a15=4974_5<x<=6717'
204,970410,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=2163<x<=3537_5'
205,970426,'a13=93288<x<=155028','a14=_inf<x<=18','a15=6717<x<=+inf'
206,970501,'a13=38772<x<=68952','a14=_inf<x<=18','a15=2163<x<=3537_5'
207,970508,'a13=38772<x<=68952','a14=_inf<x<=18','a15=2163<x<=3537_5'
208,970602,'a13=68952<x<=93288','a14=_inf<x<=18','a15=6717<x<=+inf'
209,970614,'a13=38772<x<=68952','a14=_inf<x<=18','a15=3537_5<x<=4974_5'
21,940105,'a13=68952<x<=93288','a14=18<x<=30','a15=2163<x<=3537_5'
210,970617,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=2163<x<=3537_5'
211,970618,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=2163<x<=3537_5'
212,970716,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
213,970728,'a13=68952<x<=93288','a14=_inf<x<=18','a15=4974_5<x<=6717'
214,970729,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=2163<x<=3537_5'
215,970804,'a13=68952<x<=93288','a14=_inf<x<=18','a15=6717<x<=+inf'
216,970809,'a13=38772<x<=68952','a14=_inf<x<=18','a15=3537_5<x<=4974_5'
217,970810,'a13=93288<x<=155028','a14=_inf<x<=18','a15=6717<x<=+inf'
218,970820,'a13=68952<x<=93288','a14=_inf<x<=18','a15=4974_5<x<=6717'
219,970827,'a13=38772<x<=68952','a14=_inf<x<=18','a15=4974_5<x<=6717'
22,940105,'a13=68952<x<=93288','a14=18<x<=30','a15=2163<x<=3537_5'
220,970830,'a13=38772<x<=68952','a14=_inf<x<=18','a15=3537_5<x<=4974_5'
221,970831,'a13=93288<x<=155028','a14=_inf<x<=18','a15=6717<x<=+inf'
222,970901,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
223,970906,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
224,970921,'a13=93288<x<=155028','a14=_inf<x<=18','a15=6717<x<=+inf'
225,971007,'a13=38772<x<=68952','a14=_inf<x<=18','a15=3537_5<x<=4974_5'
226,971024,'a13=68952<x<=93288','a14=_inf<x<=18','a15=6717<x<=+inf'
227,971104,'a13=38772<x<=68952','a14=_inf<x<=18','a15=3537_5<x<=4974_5'
228,971128,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
229,971208,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=2163<x<=3537_5'
23,940110,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
230,971208,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
231,971208,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=2163<x<=3537_5'
232,971209,'a13=38772<x<=68952','a14=_inf<x<=18','a15=3537_5<x<=4974_5'
233,971210,'a13=38772<x<=68952','a14=_inf<x<=18','a15=3537_5<x<=4974_5'
234,971228,'a13=68952<x<=93288','a14=_inf<x<=18','a15=4974_5<x<=6717'
24,940121,'a13=_inf<x<=38772','a14=18<x<=30','a15=_inf<x<=2163'
25,940131,'a13=93288<x<=155028','a14=30<x<=42','a15=2163<x<=3537_5'
26,940206,'a13=68952<x<=93288','a14=_inf<x<=18','a15=4974_5<x<=6717'
27,940207,'a13=93288<x<=155028','a14=42<x<=54','a15=2163<x<=3537_5'
28,940217,'a13=38772<x<=68952','a14=_inf<x<=18','a15=3537_5<x<=4974_5'
29,940223,'a13=155028<x<=+inf','a14=30<x<=42','a15=4974_5<x<=6717'
3,930728,'a13=93288<x<=155028','a14=54<x<=+inf','a15=_inf<x<=2163'
30,940301,'a13=155028<x<=+inf','a14=30<x<=42','a15=4974_5<x<=6717'
31,940308,'a13=68952<x<=93288','a14=_inf<x<=18','a15=6717<x<=+inf'
32,940311,'a13=38772<x<=68952','a14=18<x<=30','a15=_inf<x<=2163'
33,940315,'a13=38772<x<=68952','a14=18<x<=30','a15=2163<x<=3537_5'
34,940316,'a13=68952<x<=93288','a14=18<x<=30','a15=3537_5<x<=4974_5'
35,940330,'a13=_inf<x<=38772','a14=18<x<=30','a15=_inf<x<=2163'
36,940331,'a13=155028<x<=+inf','a14=30<x<=42','a15=4974_5<x<=6717'
37,940418,'a13=38772<x<=68952','a14=_inf<x<=18','a15=4974_5<x<=6717'
38,940502,'a13=155028<x<=+inf','a14=30<x<=42','a15=4974_5<x<=6717'
39,940510,'a13=155028<x<=+inf','a14=30<x<=42','a15=4974_5<x<=6717'
4,930803,'a13=93288<x<=155028','a14=30<x<=42','a15=2163<x<=3537_5'
40,940511,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
41,940520,'a13=68952<x<=93288','a14=_inf<x<=18','a15=4974_5<x<=6717'
42,940521,'a13=93288<x<=155028','a14=_inf<x<=18','a15=6717<x<=+inf'
43,940522,'a13=155028<x<=+inf','a14=42<x<=54','a15=3537_5<x<=4974_5'
44,940526,'a13=68952<x<=93288','a14=_inf<x<=18','a15=4974_5<x<=6717'
45,940526,'a13=38772<x<=68952','a14=42<x<=54','a15=_inf<x<=2163'
46,940526,'a13=_inf<x<=38772','a14=18<x<=30','a15=_inf<x<=2163'
47,940531,'a13=93288<x<=155028','a14=_inf<x<=18','a15=6717<x<=+inf'
48,940601,'a13=155028<x<=+inf','a14=42<x<=54','a15=3537_5<x<=4974_5'
49,940603,'a13=93288<x<=155028','a14=18<x<=30','a15=4974_5<x<=6717'
5,930906,'a13=155028<x<=+inf','a14=54<x<=+inf','a15=3537_5<x<=4974_5'
50,940604,'a13=38772<x<=68952','a14=18<x<=30','a15=2163<x<=3537_5'
51,940604,'a13=155028<x<=+inf','a14=30<x<=42','a15=6717<x<=+inf'
52,940605,'a13=68952<x<=93288','a14=_inf<x<=18','a15=4974_5<x<=6717'
53,940606,'a13=68952<x<=93288','a14=42<x<=54','a15=_inf<x<=2163'
54,940607,'a13=68952<x<=93288','a14=18<x<=30','a15=3537_5<x<=4974_5'
55,940612,'a13=68952<x<=93288','a14=42<x<=54','a15=_inf<x<=2163'
56,940617,'a13=155028<x<=+inf','a14=18<x<=30','a15=6717<x<=+inf'
57,940625,'a13=68952<x<=93288','a14=18<x<=30','a15=3537_5<x<=4974_5'
58,940705,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
59,940705,'a13=93288<x<=155028','a14=18<x<=30','a15=3537_5<x<=4974_5'
6,930913,'a13=68952<x<=93288','a14=18<x<=30','a15=3537_5<x<=4974_5'
60,940708,'a13=155028<x<=+inf','a14=30<x<=42','a15=6717<x<=+inf'
61,940711,'a13=38772<x<=68952','a14=_inf<x<=18','a15=2163<x<=3537_5'
62,940711,'a13=155028<x<=+inf','a14=18<x<=30','a15=6717<x<=+inf'
63,940723,'a13=93288<x<=155028','a14=18<x<=30','a15=4974_5<x<=6717'
64,940724,'a13=155028<x<=+inf','a14=42<x<=54','a15=3537_5<x<=4974_5'
65,940728,'a13=93288<x<=155028','a14=30<x<=42','a15=3537_5<x<=4974_5'
66,940730,'a13=68952<x<=93288','a14=30<x<=42','a15=_inf<x<=2163'
67,940730,'a13=155028<x<=+inf','a14=30<x<=42','a15=6717<x<=+inf'
68,940804,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
69,940805,'a13=93288<x<=155028','a14=30<x<=42','a15=2163<x<=3537_5'
7,930915,'a13=38772<x<=68952','a14=_inf<x<=18','a15=3537_5<x<=4974_5'
70,940807,'a13=155028<x<=+inf','a14=42<x<=54','a15=3537_5<x<=4974_5'
71,940810,'a13=155028<x<=+inf','a14=42<x<=54','a15=6717<x<=+inf'
72,940811,'a13=68952<x<=93288','a14=_inf<x<=18','a15=4974_5<x<=6717'
73,940823,'a13=38772<x<=68952','a14=_inf<x<=18','a15=3537_5<x<=4974_5'
74,940825,'a13=155028<x<=+inf','a14=30<x<=42','a15=4974_5<x<=6717'
75,940827,'a13=68952<x<=93288','a14=18<x<=30','a15=2163<x<=3537_5'
76,940827,'a13=93288<x<=155028','a14=18<x<=30','a15=4974_5<x<=6717'
77,940902,'a13=68952<x<=93288','a14=_inf<x<=18','a15=6717<x<=+inf'
78,940910,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
79,940911,'a13=155028<x<=+inf','a14=42<x<=54','a15=3537_5<x<=4974_5'
8,930924,'a13=155028<x<=+inf','a14=18<x<=30','a15=6717<x<=+inf'
80,940919,'a13=38772<x<=68952','a14=_inf<x<=18','a15=2163<x<=3537_5'
81,940926,'a13=68952<x<=93288','a14=_inf<x<=18','a15=6717<x<=+inf'
82,940928,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
83,940928,'a13=155028<x<=+inf','a14=18<x<=30','a15=6717<x<=+inf'
84,940929,'a13=155028<x<=+inf','a14=30<x<=42','a15=4974_5<x<=6717'
85,940930,'a13=68952<x<=93288','a14=_inf<x<=18','a15=4974_5<x<=6717'
86,940930,'a13=93288<x<=155028','a14=18<x<=30','a15=4974_5<x<=6717'
87,941002,'a13=_inf<x<=38772','a14=18<x<=30','a15=_inf<x<=2163'
88,941003,'a13=155028<x<=+inf','a14=30<x<=42','a15=4974_5<x<=6717'
89,941012,'a13=155028<x<=+inf','a14=30<x<=42','a15=4974_5<x<=6717'
9,931013,'a13=93288<x<=155028','a14=42<x<=54','a15=2163<x<=3537_5'
90,941025,'a13=_inf<x<=38772','a14=_inf<x<=18','a15=_inf<x<=2163'
91,941028,'a13=93288<x<=155028','a14=18<x<=30','a15=3537_5<x<=4974_5'
92,941030,'a13=155028<x<=+inf','a14=18<x<=30','a15=6717<x<=+inf'
93,941102,'a13=68952<x<=93288','a14=_inf<x<=18','a15=6717<x<=+inf'
94,941103,'a13=38772<x<=68952','a14=42<x<=54','a15=_inf<x<=2163'
95,941103,'a13=93288<x<=155028','a14=42<x<=54','a15=2163<x<=3537_5'
96,941104,'a13=38772<x<=68952','a14=18<x<=30','a15=2163<x<=3537_5'
97,941106,'a13=38772<x<=68952','a14=30<x<=42','a15=_inf<x<=2163'
98,941106,'a13=93288<x<=155028','a14=30<x<=42','a15=3537_5<x<=4974_5'
99,941112,'a13=155028<x<=+inf','a14=18<x<=30','a15=6717<x<=+inf'
