id,district_id,frequency,date
154,c2_52,poplatek_tydne,940710
155,c2_31,poplatek_tydne,940522
156,c2_31,poplatek_tydne,940522
157,c2_19,poplatek_tydne,950409
158,c2_70,poplatek_tydne,950818
159,c2_7,poplatek_mesicne,940407
16,c2_64,poplatek_po_obratu,930414
160,c2_13,poplatek_tydne,950827
161,c2_31,poplatek_po_obratu,951009
162,c2_13,poplatek_tydne,940714
163,c2_21,poplatek_mesicne,950407
164,c2_21,poplatek_mesicne,950407
165,c2_16,poplatek_mesicne,941019
166,c2_73,poplatek_tydne,951227
167,c2_33,poplatek_mesicne,950102
168,c2_37,poplatek_mesicne,941013
169,c2_54,poplatek_mesicne,950803
17,c2_68,poplatek_mesicne,930711
170,c2_72,poplatek_mesicne,960309
171,c2_5,poplatek_mesicne,950619
172,c2_61,poplatek_mesicne,941001
173,c2_15,poplatek_mesicne,960227
174,c2_32,poplatek_mesicne,950515
175,c2_52,poplatek_mesicne,960204
176,c2_72,poplatek_mesicne,960515
177,c2_69,poplatek_tydne,960609
178,c2_24,poplatek_mesicne,941110
179,c2_64,poplatek_tydne,950119
18,c2_1,poplatek_mesicne,930628
180,c2_1,poplatek_mesicne,960201
181,c2_9,poplatek_mesicne,951217
182,c2_70,poplatek_mesicne,960306
183,c2_70,poplatek_mesicne,960306
184,c2_37,poplatek_tydne,960219
185,c2_40,poplatek_po_obratu,960511
186,c2_53,poplatek_mesicne,951215
187,c2_1,poplatek_mesicne,950508
188,c2_52,poplatek_mesicne,950314
189,c2_31,poplatek_tydne,960107
19,c2_11,poplatek_mesicne,930818
190,c2_39,poplatek_po_obratu,951123
191,c2_67,poplatek_mesicne,951014
192,c2_42,poplatek_mesicne,950604
193,c2_57,poplatek_mesicne,960315
194,c2_19,poplatek_mesicne,960306
195,c2_21,poplatek_mesicne,960510
196,c2_34,poplatek_mesicne,960313
197,c2_34,poplatek_mesicne,960313
198,c2_1,poplatek_mesicne,960511
199,c2_5,poplatek_mesicne,960312
2,c2_46,poplatek_mesicne,930213
20,c2_54,poplatek_mesicne,930610
200,c2_66,poplatek_mesicne,961122
201,c2_17,poplatek_mesicne,960328
202,c2_69,poplatek_mesicne,960311
203,c2_73,poplatek_mesicne,950705
204,c2_71,poplatek_tydne,960812
205,c2_16,poplatek_mesicne,951110
206,c2_64,poplatek_mesicne,951118
207,c2_68,poplatek_mesicne,960604
208,c2_21,poplatek_mesicne,960621
209,c2_51,poplatek_mesicne,950907
21,c2_1,poplatek_mesicne,930226
210,c2_1,poplatek_mesicne,961101
211,c2_9,poplatek_mesicne,960615
212,c2_59,poplatek_mesicne,960512
213,c2_1,poplatek_mesicne,970402
214,c2_70,poplatek_mesicne,970128
215,c2_70,poplatek_mesicne,960502
216,c2_61,poplatek_mesicne,960723
217,c2_74,poplatek_mesicne,960505
218,c2_1,poplatek_mesicne,960303
219,c2_74,poplatek_mesicne,961011
22,c2_1,poplatek_mesicne,930226
220,c2_6,poplatek_mesicne,961021
221,c2_70,poplatek_mesicne,960727
222,c2_53,poplatek_mesicne,951028
223,c2_53,poplatek_mesicne,960916
224,c2_74,poplatek_mesicne,951229
225,c2_1,poplatek_tydne,970211
226,c2_1,poplatek_mesicne,970205
227,c2_9,poplatek_tydne,960226
228,c2_27,poplatek_mesicne,960315
229,c2_68,poplatek_mesicne,960728
23,c2_1,poplatek_mesicne,930227
230,c2_3,poplatek_mesicne,961012
231,c2_68,poplatek_mesicne,960728
232,c2_75,poplatek_mesicne,960918
233,c2_70,poplatek_mesicne,970320
234,c2_13,poplatek_tydne,970629
24,c2_4,poplatek_mesicne,930908
25,c2_1,poplatek_mesicne,930520
26,c2_1,poplatek_mesicne,930509
27,c2_11,poplatek_mesicne,930421
28,c2_24,poplatek_po_obratu,930903
29,c2_50,poplatek_mesicne,930913
3,c2_45,poplatek_mesicne,930208
30,c2_75,poplatek_mesicne,931010
31,c2_7,poplatek_mesicne,930308
32,c2_74,poplatek_mesicne,930208
33,c2_64,poplatek_mesicne,930318
34,c2_39,poplatek_mesicne,930728
35,c2_48,poplatek_mesicne,930328
36,c2_38,poplatek_tydne,930305
37,c2_54,poplatek_mesicne,930125
38,c2_1,poplatek_mesicne,931127
39,c2_72,poplatek_po_obratu,931025
4,c2_12,poplatek_mesicne,930130
40,c2_16,poplatek_mesicne,930210
41,c2_11,poplatek_mesicne,930705
42,c2_20,poplatek_mesicne,930724
43,c2_23,poplatek_mesicne,931003
44,c2_12,poplatek_mesicne,930126
45,c2_4,poplatek_mesicne,930419
46,c2_41,poplatek_mesicne,930908
47,c2_66,poplatek_mesicne,931126
48,c2_1,poplatek_tydne,930207
49,c2_66,poplatek_mesicne,931121
5,c2_1,poplatek_tydne,930214
50,c2_30,poplatek_mesicne,930913
51,c2_27,poplatek_mesicne,930605
52,c2_44,poplatek_tydne,930707
53,c2_15,poplatek_mesicne,931126
54,c2_38,poplatek_mesicne,930721
55,c2_11,poplatek_mesicne,930319
56,c2_34,poplatek_mesicne,930322
57,c2_1,poplatek_mesicne,931126
58,c2_63,poplatek_mesicne,931105
59,c2_19,poplatek_mesicne,930320
6,c2_13,poplatek_mesicne,930512
60,c2_56,poplatek_mesicne,930828
61,c2_1,poplatek_mesicne,930204
62,c2_77,poplatek_po_obratu,930623
63,c2_12,poplatek_mesicne,930220
64,c2_54,poplatek_mesicne,930511
65,c2_1,poplatek_tydne,930529
66,c2_45,poplatek_mesicne,930626
67,c2_67,poplatek_mesicne,930606
68,c2_55,poplatek_mesicne,930701
69,c2_1,poplatek_tydne,930327
7,c2_15,poplatek_mesicne,930114
70,c2_10,poplatek_mesicne,940121
71,c2_1,poplatek_mesicne,930621
72,c2_23,poplatek_mesicne,930402
73,c2_67,poplatek_tydne,931122
74,c2_31,poplatek_mesicne,930324
75,c2_66,poplatek_mesicne,940408
76,c2_55,poplatek_mesicne,930428
77,c2_60,poplatek_mesicne,930508
78,c2_38,poplatek_mesicne,930312
79,c2_52,poplatek_mesicne,930816
8,c2_24,poplatek_mesicne,930414
80,c2_68,poplatek_mesicne,930124
81,c2_32,poplatek_mesicne,930607
82,c2_54,poplatek_mesicne,930119
83,c2_60,poplatek_mesicne,940517
84,c2_74,poplatek_mesicne,931008
85,c2_55,poplatek_mesicne,931108
86,c2_50,poplatek_mesicne,930907
87,c2_1,poplatek_mesicne,930422
88,c2_60,poplatek_mesicne,930602
89,c2_64,poplatek_mesicne,930925
9,c2_18,poplatek_tydne,930420
90,c2_74,poplatek_mesicne,930801
91,c2_65,poplatek_mesicne,940709
92,c2_16,poplatek_mesicne,930808
93,c2_70,poplatek_mesicne,930208
94,c2_1,poplatek_mesicne,931121
95,c2_56,poplatek_mesicne,931202
96,c2_74,poplatek_mesicne,931227
97,c2_1,poplatek_mesicne,930917
98,c2_1,poplatek_mesicne,931010
99,c2_20,poplatek_tydne,930829
