drug_id,atom_id_1,atom_id_2,atom_id_3,atom_id_4
d40,d40_14,d40_18,d40_19,d40_20
d55,d55_13,d55_21,d55_22,d55_23
d62,d62_1,d62_13,d62_14,d62_15
d65,d65_14,d65_17,d65_19,d65_20
d65,d65_12,d65_18,d65_21,d65_22
d66,d66_6,d66_22,d66_23,d66_24
d73,d73_5,d73_22,d73_23,d73_24
d76,d76_5,d76_11,d76_13,d76_14
d78,d78_14,d78_25,d78_26,d78_27
d84,d84_2,d84_16,d84_17,d84_18
d88,d88_2,d88_17,d88_18,d88_19
d100,d100_6,d100_22,d100_23,d100_24
d110,d110_15,d110_19,d110_25,d110_26
d110,d110_13,d110_20,d110_27,d110_28
d110,d110_5,d110_21,d110_23,d110_24
d110,d110_3,d110_22,d110_29,d110_30
d113,d113_4,d113_11,d113_13,d113_14
d113,d113_2,d113_12,d113_15,d113_16
d116,d116_5,d116_11,d116_13,d116_14
d123,d123_14,d123_28,d123_29,d123_30
d124,d124_5,d124_10,d124_13,d124_14
d129,d129_4,d129_15,d129_17,d129_18
d129,d129_2,d129_16,d129_19,d129_20
d133,d133_15,d133_18,d133_23,d133_24
d135,d135_5,d135_10,d135_11,d135_12
d139,d139_4,d139_13,d139_15,d139_16
d142,d142_6,d142_19,d142_20,d142_21
d143,d143_4,d143_23,d143_24,d143_25
d150,d150_1,d150_6,d150_7,d150_8
d154,d154_8,d154_10,d154_11,d154_12
d155,d155_4,d155_15,d155_17,d155_18
d155,d155_2,d155_16,d155_19,d155_20
d156,d156_1,d156_18,d156_19,d156_20
d160,d160_2,d160_13,d160_17,d160_18
d160,d160_6,d160_14,d160_15,d160_16
d168,d168_2,d168_16,d168_17,d168_18
d175,d175_14,d175_17,d175_18,d175_19
d179,d179_2,d179_26,d179_27,d179_28
d179,d179_19,d179_29,d179_30,d179_31
d181,d181_4,d181_12,d181_13,d181_14
d182,d182_2,d182_20,d182_21,d182_22
d185,d185_3,d185_11,d185_15,d185_16
d185,d185_2,d185_12,d185_13,d185_14
d190,d190_6,d190_10,d190_11,d190_12
d191,d191_18,d191_28,d191_29,d191_30
d194,d194_2,d194_11,d194_14,d194_15
d197,d197_8,d197_11,d197_12,d197_13
e1,e1_11,e1_32,e1_33,e1_34
e2,e2_7,e2_21,e2_22,e2_23
e27,e27_29,e27_32,e27_33,e27_34
f1,f1_4,f1_8,f1_10,f1_9
f2,f2_1,f2_9,f2_10,f2_11
f3,f3_4,f3_8,f3_10,f3_9
f4,f4_4,f4_8,f4_10,f4_9
f5,f5_4,f5_16,f5_17,f5_18
f6,f6_4,f6_8,f6_10,f6_9
d189,d189_12,d189_15,d189_21,d189_22
d189,d189_10,d189_16,d189_23,d189_24
d189,d189_5,d189_17,d189_19,d189_20
d189,d189_1,d189_18,d189_25,d189_26
d192,d192_12,d192_30,d192_31,d192_32
d193,d193_24,d193_30,d193_31,d193_32
d195,d195_2,d195_12,d195_13,d195_14
d196,d196_15,d196_22,d196_23,d196_24
e3,e3_6,e3_17,e3_18,e3_19
e4,e4_6,e4_11,e4_12,e4_13
e5,e5_5,e5_12,e5_13,e5_14
e6,e6_2,e6_11,e6_12,e6_13
e7,e7_5,e7_10,e7_11,e7_12
e8,e8_6,e8_10,e8_11,e8_12
e9,e9_5,e9_11,e9_13,e9_14
e10,e10_2,e10_10,e10_11,e10_12
e11,e11_5,e11_10,e11_11,e11_12
e12,e12_5,e12_10,e12_11,e12_12
e12,e12_4,e12_14,e12_15,e12_16
e13,e13_5,e13_10,e13_11,e13_12
e14,e14_5,e14_9,e14_10,e14_11
e15,e15_11,e15_30,e15_31,e15_32
e16,e16_5,e16_9,e16_10,e16_11
e17,e17_14,e17_24,e17_25,e17_26
e18,e18_5,e18_9,e18_10,e18_11
e19,e19_10,e19_15,e19_16,e19_17
e20,e20_10,e20_15,e20_16,e20_17
e21,e21_7,e21_21,e21_22,e21_23
e22,e22_7,e22_19,e22_20,e22_21
e23,e23_7,e23_19,e23_20,e23_21
e24,e24_10,e24_30,e24_31,e24_32
e25,e25_7,e25_21,e25_22,e25_23
e26,e26_7,e26_31,e26_32,e26_33
