drug_id,atom_id_1,atom_id_2,atom_id_3,atom_id_4,atom_id_5,atom_id_6
d57,d57_16,d57_11,d57_12,d57_13,d57_14,d57_15
d58,d58_6,d58_1,d58_2,d58_3,d58_4,d58_5
d58,d58_9,d58_10,d58_4,d58_3,d58_7,d58_8
d58,d58_9,d58_10,d58_11,d58_16,d58_15,d58_14
d59,d59_6,d59_1,d59_2,d59_3,d59_4,d59_5
d59,d59_9,d59_10,d59_3,d59_2,d59_7,d59_8
d59,d59_9,d59_10,d59_14,d59_13,d59_12,d59_11
d59,d59_18,d59_13,d59_12,d59_15,d59_16,d59_17
d60,d60_6,d60_1,d60_2,d60_3,d60_4,d60_5
d60,d60_4,d60_13,d60_12,d60_11,d60_10,d60_3
d61,d61_6,d61_1,d61_2,d61_3,d61_4,d61_5
d61,d61_15,d61_10,d61_11,d61_12,d61_13,d61_14
d64,d64_6,d64_1,d64_2,d64_3,d64_4,d64_5
d64,d64_15,d64_10,d64_11,d64_12,d64_13,d64_14
d67,d67_6,d67_1,d67_2,d67_3,d67_4,d67_5
d67,d67_4,d67_13,d67_12,d67_11,d67_10,d67_3
d67,d67_20,d67_15,d67_16,d67_17,d67_18,d67_19
d68,d68_6,d68_1,d68_2,d68_3,d68_4,d68_5
d68,d68_4,d68_14,d68_13,d68_12,d68_11,d68_3
d68,d68_19,d68_13,d68_12,d68_16,d68_17,d68_18
d68,d68_24,d68_14,d68_13,d68_19,d68_22,d68_23
d68,d68_29,d68_22,d68_19,d68_18,d68_27,d68_28
d69,d69_6,d69_1,d69_2,d69_3,d69_4,d69_5
d69,d69_15,d69_10,d69_11,d69_12,d69_13,d69_14
d71,d71_6,d71_1,d71_2,d71_3,d71_4,d71_5
d71,d71_9,d71_10,d71_4,d71_3,d71_7,d71_8
d71,d71_5,d71_13,d71_12,d71_11,d71_10,d71_4
d71,d71_9,d71_10,d71_11,d71_16,d71_15,d71_14
d72,d72_6,d72_1,d72_2,d72_3,d72_4,d72_5
d72,d72_16,d72_11,d72_12,d72_13,d72_14,d72_15
d75,d75_6,d75_1,d75_2,d75_3,d75_4,d75_5
d75,d75_16,d75_11,d75_12,d75_13,d75_14,d75_15
d79,d79_6,d79_1,d79_2,d79_3,d79_4,d79_5
d79,d79_16,d79_11,d79_12,d79_13,d79_14,d79_15
d80,d80_6,d80_1,d80_2,d80_3,d80_4,d80_5
d80,d80_4,d80_13,d80_12,d80_11,d80_10,d80_3
d80,d80_22,d80_17,d80_18,d80_19,d80_20,d80_21
d82,d82_6,d82_1,d82_2,d82_3,d82_4,d82_5
d82,d82_9,d82_10,d82_11,d82_12,d82_4,d82_3
d82,d82_19,d82_14,d82_15,d82_16,d82_17,d82_18
d83,d83_6,d83_1,d83_2,d83_3,d83_4,d83_5
d83,d83_9,d83_10,d83_11,d83_12,d83_7,d83_8
d86,d86_6,d86_1,d86_2,d86_3,d86_4,d86_5
d86,d86_9,d86_10,d86_5,d86_4,d86_7,d86_8
d86,d86_8,d86_14,d86_13,d86_12,d86_11,d86_7
d86,d86_18,d86_13,d86_12,d86_15,d86_16,d86_17
d87,d87_6,d87_1,d87_2,d87_3,d87_4,d87_5
d87,d87_9,d87_10,d87_11,d87_12,d87_7,d87_8
d90,d90_6,d90_1,d90_2,d90_3,d90_4,d90_5
d90,d90_4,d90_13,d90_12,d90_11,d90_10,d90_3
d90,d90_21,d90_16,d90_13,d90_12,d90_19,d90_20
d90,d90_5,d90_18,d90_17,d90_16,d90_13,d90_4
d90,d90_27,d90_18,d90_17,d90_24,d90_25,d90_26
d94,d94_6,d94_1,d94_2,d94_3,d94_4,d94_5
d94,d94_4,d94_13,d94_12,d94_11,d94_10,d94_3
d94,d94_22,d94_15,d94_13,d94_12,d94_20,d94_21
d94,d94_5,d94_17,d94_16,d94_15,d94_13,d94_4
d95,d95_6,d95_1,d95_2,d95_3,d95_4,d95_5
d95,d95_4,d95_13,d95_12,d95_11,d95_10,d95_3
d96,d96_6,d96_1,d96_2,d96_3,d96_4,d96_5
d96,d96_9,d96_10,d96_11,d96_12,d96_4,d96_3
d96,d96_22,d96_15,d96_12,d96_11,d96_20,d96_21
d96,d96_5,d96_17,d96_16,d96_15,d96_12,d96_4
d101,d101_6,d101_1,d101_2,d101_3,d101_4,d101_5
d101,d101_9,d101_10,d101_4,d101_3,d101_7,d101_8
d101,d101_5,d101_13,d101_12,d101_11,d101_10,d101_4
d101,d101_9,d101_10,d101_11,d101_16,d101_15,d101_14
d104,d104_6,d104_1,d104_2,d104_3,d104_4,d104_5
d104,d104_9,d104_10,d104_4,d104_3,d104_7,d104_8
d104,d104_5,d104_13,d104_12,d104_11,d104_10,d104_4
d104,d104_9,d104_10,d104_11,d104_16,d104_15,d104_14
d105,d105_6,d105_1,d105_2,d105_3,d105_4,d105_5
d107,d107_6,d107_1,d107_2,d107_3,d107_4,d107_5
d107,d107_9,d107_10,d107_11,d107_12,d107_4,d107_3
d107,d107_19,d107_14,d107_15,d107_16,d107_17,d107_18
d109,d109_6,d109_1,d109_2,d109_3,d109_4,d109_5
d109,d109_9,d109_10,d109_15,d109_19,d109_18,d109_14
d109,d109_6,d109_17,d109_16,d109_15,d109_10,d109_5
d109,d109_9,d109_14,d109_13,d109_12,d109_11,d109_8
d109,d109_8,d109_11,d109_22,d109_21,d109_20,d109_7
d112,d112_6,d112_1,d112_2,d112_3,d112_4,d112_5
d112,d112_4,d112_13,d112_12,d112_11,d112_10,d112_3
d115,d115_6,d115_1,d115_2,d115_3,d115_4,d115_5
d117,d117_6,d117_1,d117_2,d117_3,d117_4,d117_5
d117,d117_16,d117_11,d117_12,d117_13,d117_14,d117_15
d122,d122_6,d122_1,d122_2,d122_3,d122_4,d122_5
d122,d122_4,d122_14,d122_13,d122_12,d122_11,d122_3
d122,d122_19,d122_14,d122_13,d122_16,d122_17,d122_18
d122,d122_25,d122_17,d122_16,d122_22,d122_23,d122_24
d125,d125_6,d125_1,d125_2,d125_3,d125_4,d125_5
d125,d125_5,d125_13,d125_12,d125_11,d125_10,d125_4
d125,d125_9,d125_10,d125_11,d125_16,d125_15,d125_14
d126,d126_6,d126_1,d126_2,d126_3,d126_4,d126_5
d126,d126_17,d126_12,d126_11,d126_14,d126_15,d126_16
d127,d127_6,d127_1,d127_2,d127_3,d127_4,d127_5
d127,d127_16,d127_11,d127_12,d127_13,d127_14,d127_15
d128,d128_6,d128_1,d128_2,d128_3,d128_4,d128_5
d128,d128_9,d128_10,d128_4,d128_3,d128_7,d128_8
d136,d136_6,d136_1,d136_2,d136_3,d136_4,d136_5
d136,d136_4,d136_13,d136_12,d136_11,d136_10,d136_3
d136,d136_23,d136_16,d136_13,d136_12,d136_21,d136_22
d136,d136_5,d136_18,d136_17,d136_16,d136_13,d136_4
d137,d137_6,d137_1,d137_2,d137_3,d137_4,d137_5
d137,d137_4,d137_13,d137_12,d137_11,d137_10,d137_3
d137,d137_20,d137_15,d137_16,d137_17,d137_18,d137_19
d140,d140_6,d140_1,d140_2,d140_3,d140_4,d140_5
d140,d140_4,d140_13,d140_12,d140_11,d140_10,d140_3
d146,d146_6,d146_1,d146_2,d146_3,d146_4,d146_5
d146,d146_16,d146_11,d146_12,d146_13,d146_14,d146_15
d148,d148_6,d148_1,d148_2,d148_3,d148_4,d148_5
d148,d148_9,d148_10,d148_4,d148_3,d148_7,d148_8
d149,d149_6,d149_1,d149_2,d149_3,d149_4,d149_5
d149,d149_17,d149_12,d149_11,d149_14,d149_15,d149_16
d151,d151_6,d151_1,d151_2,d151_3,d151_4,d151_5
d152,d152_6,d152_1,d152_2,d152_3,d152_4,d152_5
d152,d152_9,d152_10,d152_11,d152_12,d152_4,d152_3
d152,d152_20,d152_15,d152_16,d152_17,d152_18,d152_19
d153,d153_6,d153_1,d153_2,d153_3,d153_4,d153_5
d153,d153_4,d153_13,d153_12,d153_11,d153_10,d153_3
d157,d157_9,d157_10,d157_4,d157_3,d157_7,d157_8
d157,d157_5,d157_13,d157_12,d157_11,d157_10,d157_4
d157,d157_9,d157_10,d157_11,d157_16,d157_15,d157_14
d159,d159_9,d159_10,d159_4,d159_3,d159_7,d159_8
d159,d159_5,d159_13,d159_12,d159_11,d159_10,d159_4
d159,d159_9,d159_10,d159_11,d159_16,d159_15,d159_14
d163,d163_6,d163_1,d163_2,d163_3,d163_4,d163_5
d163,d163_9,d163_10,d163_11,d163_12,d163_4,d163_3
d163,d163_22,d163_15,d163_12,d163_11,d163_20,d163_21
d163,d163_5,d163_17,d163_16,d163_15,d163_12,d163_4
d164,d164_6,d164_1,d164_2,d164_3,d164_4,d164_5
d164,d164_9,d164_10,d164_11,d164_12,d164_4,d164_3
d164,d164_22,d164_15,d164_12,d164_11,d164_20,d164_21
d164,d164_5,d164_17,d164_16,d164_15,d164_12,d164_4
d165,d165_6,d165_1,d165_2,d165_3,d165_4,d165_5
d165,d165_4,d165_13,d165_12,d165_11,d165_10,d165_3
d165,d165_22,d165_17,d165_18,d165_19,d165_20,d165_21
d166,d166_6,d166_1,d166_2,d166_3,d166_4,d166_5
d166,d166_4,d166_13,d166_12,d166_11,d166_10,d166_3
d166,d166_23,d166_16,d166_13,d166_12,d166_21,d166_22
d166,d166_5,d166_18,d166_17,d166_16,d166_13,d166_4
d169,d169_6,d169_1,d169_2,d169_3,d169_4,d169_5
d171,d171_6,d171_1,d171_2,d171_3,d171_4,d171_5
d171,d171_15,d171_10,d171_11,d171_12,d171_13,d171_14
d172,d172_6,d172_1,d172_2,d172_3,d172_4,d172_5
d173,d173_6,d173_1,d173_2,d173_3,d173_4,d173_5
d173,d173_15,d173_10,d173_11,d173_12,d173_13,d173_14
d174,d174_6,d174_1,d174_2,d174_3,d174_4,d174_5
d174,d174_4,d174_13,d174_12,d174_11,d174_10,d174_3
d174,d174_21,d174_16,d174_17,d174_18,d174_19,d174_20
d177,d177_6,d177_1,d177_2,d177_3,d177_4,d177_5
d177,d177_17,d177_12,d177_11,d177_14,d177_15,d177_16
d178,d178_6,d178_1,d178_2,d178_3,d178_4,d178_5
d183,d183_6,d183_1,d183_2,d183_3,d183_4,d183_5
d183,d183_9,d183_10,d183_11,d183_12,d183_4,d183_3
d183,d183_22,d183_15,d183_12,d183_11,d183_20,d183_21
d183,d183_5,d183_17,d183_16,d183_15,d183_12,d183_4
d184,d184_6,d184_1,d184_2,d184_3,d184_4,d184_5
d184,d184_4,d184_13,d184_12,d184_11,d184_10,d184_3
d184,d184_21,d184_16,d184_17,d184_18,d184_19,d184_20
d187,d187_6,d187_1,d187_25,d187_24,d187_23,d187_22
d187,d187_9,d187_10,d187_5,d187_4,d187_7,d187_8
d187,d187_3,d187_17,d187_16,d187_15,d187_14,d187_2
d8,d8_6,d8_1,d8_2,d8_3,d8_4,d8_5
d8,d8_9,d8_10,d8_11,d8_12,d8_7,d8_8
d16,d16_6,d16_1,d16_2,d16_3,d16_4,d16_5
d16,d16_9,d16_10,d16_4,d16_3,d16_7,d16_8
d16,d16_16,d16_11,d16_12,d16_13,d16_14,d16_15
d21,d21_6,d21_1,d21_2,d21_3,d21_4,d21_5
d21,d21_16,d21_11,d21_12,d21_13,d21_14,d21_15
d22,d22_6,d22_1,d22_2,d22_3,d22_4,d22_5
d22,d22_9,d22_10,d22_11,d22_12,d22_7,d22_8
d23,d23_6,d23_1,d23_2,d23_3,d23_4,d23_5
d23,d23_9,d23_10,d23_5,d23_4,d23_7,d23_8
d23,d23_8,d23_14,d23_13,d23_12,d23_11,d23_7
d23,d23_18,d23_13,d23_12,d23_15,d23_16,d23_17
d29,d29_6,d29_1,d29_2,d29_3,d29_4,d29_5
d29,d29_9,d29_10,d29_11,d29_12,d29_7,d29_8
d30,d30_6,d30_1,d30_2,d30_3,d30_4,d30_5
d30,d30_9,d30_10,d30_4,d30_3,d30_7,d30_8
d30,d30_8,d30_14,d30_13,d30_12,d30_11,d30_7
d30,d30_18,d30_13,d30_12,d30_15,d30_16,d30_17
d32,d32_6,d32_1,d32_2,d32_3,d32_4,d32_5
d32,d32_15,d32_10,d32_11,d32_12,d32_13,d32_14
d33,d33_6,d33_1,d33_2,d33_3,d33_4,d33_5
d33,d33_15,d33_10,d33_11,d33_12,d33_13,d33_14
d35,d35_6,d35_1,d35_2,d35_3,d35_4,d35_5
d35,d35_15,d35_10,d35_11,d35_12,d35_13,d35_14
d37,d37_6,d37_1,d37_2,d37_3,d37_4,d37_5
d37,d37_22,d37_15,d37_18,d37_19,d37_20,d37_21
d44,d44_6,d44_1,d44_2,d44_3,d44_4,d44_5
d44,d44_8,d44_14,d44_13,d44_12,d44_11,d44_7
d47,d47_6,d47_1,d47_2,d47_3,d47_4,d47_5
d47,d47_9,d47_10,d47_11,d47_16,d47_15,d47_14
d74,d74_6,d74_1,d74_2,d74_3,d74_4,d74_5
d74,d74_4,d74_13,d74_12,d74_11,d74_10,d74_3
d74,d74_22,d74_17,d74_18,d74_19,d74_20,d74_21
d74,d74_28,d74_21,d74_20,d74_25,d74_26,d74_27
d81,d81_6,d81_1,d81_2,d81_3,d81_4,d81_5
d85,d85_6,d85_1,d85_2,d85_3,d85_4,d85_5
d85,d85_9,d85_10,d85_5,d85_4,d85_7,d85_8
d85,d85_8,d85_14,d85_13,d85_12,d85_11,d85_7
d85,d85_18,d85_13,d85_12,d85_15,d85_16,d85_17
d91,d91_9,d91_10,d91_4,d91_3,d91_7,d91_8
d91,d91_9,d91_10,d91_17,d91_16,d91_15,d91_14
d91,d91_9,d91_14,d91_13,d91_12,d91_11,d91_8
d91,d91_20,d91_15,d91_14,d91_13,d91_18,d91_19
d92,d92_6,d92_1,d92_2,d92_3,d92_4,d92_5
d92,d92_9,d92_10,d92_11,d92_16,d92_15,d92_14
d93,d93_6,d93_1,d93_2,d93_3,d93_4,d93_5
d93,d93_4,d93_13,d93_12,d93_11,d93_10,d93_3
d93,d93_21,d93_16,d93_13,d93_12,d93_19,d93_20
d93,d93_5,d93_18,d93_17,d93_16,d93_13,d93_4
d93,d93_27,d93_18,d93_17,d93_24,d93_25,d93_26
d97,d97_6,d97_1,d97_2,d97_3,d97_4,d97_5
d97,d97_15,d97_10,d97_11,d97_12,d97_13,d97_14
d99,d99_6,d99_1,d99_2,d99_3,d99_4,d99_5
d99,d99_9,d99_10,d99_4,d99_3,d99_7,d99_8
d102,d102_6,d102_1,d102_2,d102_3,d102_4,d102_5
d102,d102_9,d102_10,d102_11,d102_12,d102_13,d102_14
d103,d103_6,d103_1,d103_2,d103_3,d103_4,d103_5
d103,d103_4,d103_13,d103_12,d103_11,d103_10,d103_3
d103,d103_23,d103_16,d103_13,d103_12,d103_21,d103_22
d103,d103_5,d103_18,d103_17,d103_16,d103_13,d103_4
d106,d106_6,d106_1,d106_2,d106_3,d106_4,d106_5
d106,d106_4,d106_13,d106_12,d106_11,d106_10,d106_3
d106,d106_22,d106_16,d106_13,d106_12,d106_20,d106_21
d106,d106_5,d106_18,d106_17,d106_16,d106_13,d106_4
d108,d108_6,d108_1,d108_2,d108_3,d108_4,d108_5
d108,d108_9,d108_10,d108_11,d108_12,d108_4,d108_3
d108,d108_19,d108_14,d108_15,d108_16,d108_17,d108_18
d118,d118_9,d118_10,d118_4,d118_3,d118_7,d118_8
d118,d118_9,d118_10,d118_17,d118_16,d118_15,d118_14
d118,d118_9,d118_14,d118_13,d118_12,d118_11,d118_8
d118,d118_20,d118_15,d118_14,d118_13,d118_18,d118_19
d121,d121_6,d121_1,d121_2,d121_3,d121_4,d121_5
d121,d121_9,d121_10,d121_11,d121_12,d121_4,d121_3
d121,d121_19,d121_14,d121_15,d121_16,d121_17,d121_18
d134,d134_6,d134_1,d134_2,d134_3,d134_4,d134_5
d134,d134_5,d134_13,d134_12,d134_11,d134_10,d134_4
d134,d134_9,d134_10,d134_11,d134_16,d134_15,d134_14
d145,d145_6,d145_1,d145_2,d145_3,d145_4,d145_5
d145,d145_16,d145_11,d145_12,d145_13,d145_14,d145_15
d158,d158_6,d158_1,d158_2,d158_3,d158_4,d158_5
d158,d158_15,d158_10,d158_11,d158_12,d158_13,d158_14
d161,d161_6,d161_1,d161_2,d161_3,d161_4,d161_5
d161,d161_9,d161_10,d161_11,d161_12,d161_4,d161_3
d161,d161_20,d161_15,d161_12,d161_11,d161_18,d161_19
d161,d161_5,d161_17,d161_16,d161_15,d161_12,d161_4
d161,d161_26,d161_17,d161_16,d161_23,d161_24,d161_25
d162,d162_6,d162_1,d162_2,d162_3,d162_4,d162_5
d162,d162_15,d162_10,d162_11,d162_12,d162_13,d162_14
d167,d167_6,d167_1,d167_2,d167_3,d167_4,d167_5
d167,d167_9,d167_10,d167_11,d167_12,d167_4,d167_3
d167,d167_22,d167_15,d167_12,d167_11,d167_20,d167_21
d167,d167_5,d167_17,d167_16,d167_15,d167_12,d167_4
d170,d170_6,d170_1,d170_2,d170_3,d170_4,d170_5
d170,d170_18,d170_13,d170_12,d170_15,d170_16,d170_17
d176,d176_6,d176_1,d176_2,d176_3,d176_4,d176_5
d180,d180_6,d180_1,d180_2,d180_3,d180_4,d180_5
d180,d180_9,d180_10,d180_6,d180_5,d180_7,d180_8
d180,d180_8,d180_14,d180_13,d180_12,d180_11,d180_7
d180,d180_18,d180_12,d180_11,d180_15,d180_16,d180_17
d180,d180_22,d180_16,d180_15,d180_19,d180_20,d180_21
d2,d2_6,d2_1,d2_2,d2_3,d2_4,d2_5
d17,d17_6,d17_1,d17_2,d17_3,d17_4,d17_5
d42,d42_6,d42_1,d42_2,d42_3,d42_4,d42_5
d70,d70_6,d70_1,d70_2,d70_3,d70_4,d70_5
d77,d77_6,d77_1,d77_2,d77_3,d77_4,d77_5
d77,d77_16,d77_11,d77_12,d77_13,d77_14,d77_15
d89,d89_6,d89_1,d89_2,d89_3,d89_4,d89_5
d98,d98_6,d98_1,d98_2,d98_3,d98_4,d98_5
d111,d111_6,d111_1,d111_2,d111_3,d111_4,d111_5
d114,d114_6,d114_1,d114_2,d114_3,d114_4,d114_5
d114,d114_16,d114_11,d114_12,d114_13,d114_14,d114_15
d119,d119_6,d119_1,d119_2,d119_3,d119_4,d119_5
d119,d119_16,d119_11,d119_12,d119_13,d119_14,d119_15
d120,d120_6,d120_1,d120_2,d120_3,d120_4,d120_5
d130,d130_6,d130_1,d130_2,d130_3,d130_4,d130_5
d131,d131_6,d131_1,d131_2,d131_3,d131_4,d131_5
d131,d131_21,d131_16,d131_17,d131_18,d131_19,d131_20
d132,d132_6,d132_1,d132_2,d132_3,d132_4,d132_5
d138,d138_6,d138_1,d138_2,d138_3,d138_4,d138_5
d141,d141_6,d141_1,d141_2,d141_3,d141_4,d141_5
d144,d144_6,d144_1,d144_2,d144_3,d144_4,d144_5
d147,d147_6,d147_1,d147_2,d147_3,d147_4,d147_5
d186,d186_6,d186_1,d186_2,d186_3,d186_4,d186_5
d188,d188_6,d188_1,d188_2,d188_3,d188_4,d188_5
d188,d188_16,d188_11,d188_12,d188_13,d188_14,d188_15
d3,d3_6,d3_1,d3_2,d3_3,d3_4,d3_5
d5,d5_6,d5_1,d5_2,d5_3,d5_4,d5_5
d7,d7_6,d7_1,d7_2,d7_3,d7_4,d7_5
d7,d7_17,d7_12,d7_13,d7_14,d7_15,d7_16
d9,d9_6,d9_1,d9_2,d9_3,d9_4,d9_5
d14,d14_6,d14_1,d14_2,d14_3,d14_4,d14_5
d19,d19_6,d19_1,d19_2,d19_3,d19_4,d19_5
d34,d34_6,d34_1,d34_2,d34_3,d34_4,d34_5
d34,d34_4,d34_14,d34_13,d34_12,d34_11,d34_3
d36,d36_6,d36_1,d36_2,d36_3,d36_4,d36_5
d36,d36_4,d36_14,d36_13,d36_12,d36_11,d36_3
d38,d38_6,d38_1,d38_2,d38_3,d38_4,d38_5
d38,d38_17,d38_12,d38_13,d38_14,d38_15,d38_16
d39,d39_6,d39_1,d39_2,d39_3,d39_4,d39_5
d40,d40_6,d40_1,d40_2,d40_3,d40_4,d40_5
d40,d40_4,d40_14,d40_13,d40_12,d40_11,d40_3
d55,d55_6,d55_1,d55_2,d55_3,d55_4,d55_5
d55,d55_4,d55_14,d55_13,d55_12,d55_11,d55_3
d62,d62_6,d62_1,d62_2,d62_3,d62_4,d62_5
d65,d65_6,d65_1,d65_2,d65_3,d65_4,d65_5
d65,d65_4,d65_14,d65_13,d65_12,d65_11,d65_3
d66,d66_6,d66_1,d66_2,d66_3,d66_4,d66_5
d66,d66_16,d66_11,d66_12,d66_13,d66_14,d66_15
d73,d73_6,d73_1,d73_2,d73_3,d73_4,d73_5
d73,d73_16,d73_11,d73_12,d73_13,d73_14,d73_15
d76,d76_6,d76_1,d76_2,d76_3,d76_4,d76_5
d78,d78_6,d78_1,d78_2,d78_3,d78_4,d78_5
d78,d78_16,d78_11,d78_12,d78_13,d78_14,d78_15
d84,d84_6,d84_1,d84_2,d84_3,d84_4,d84_5
d88,d88_6,d88_1,d88_2,d88_3,d88_4,d88_5
d100,d100_6,d100_1,d100_2,d100_3,d100_4,d100_5
d100,d100_16,d100_11,d100_12,d100_13,d100_14,d100_15
d110,d110_6,d110_1,d110_2,d110_3,d110_4,d110_5
d110,d110_15,d110_10,d110_11,d110_12,d110_13,d110_14
d113,d113_6,d113_1,d113_2,d113_3,d113_4,d113_5
d116,d116_6,d116_1,d116_2,d116_3,d116_4,d116_5
d123,d123_6,d123_1,d123_2,d123_3,d123_4,d123_5
d123,d123_16,d123_11,d123_12,d123_13,d123_14,d123_15
d124,d124_6,d124_1,d124_2,d124_3,d124_4,d124_5
d129,d129_6,d129_1,d129_2,d129_3,d129_4,d129_5
d133,d133_6,d133_1,d133_2,d133_3,d133_4,d133_5
d133,d133_16,d133_11,d133_10,d133_13,d133_14,d133_15
d135,d135_6,d135_1,d135_2,d135_3,d135_4,d135_5
d139,d139_6,d139_1,d139_2,d139_3,d139_4,d139_5
d142,d142_6,d142_1,d142_2,d142_3,d142_4,d142_5
d142,d142_16,d142_11,d142_10,d142_13,d142_14,d142_15
d143,d143_6,d143_1,d143_2,d143_3,d143_4,d143_5
d143,d143_17,d143_12,d143_13,d143_14,d143_15,d143_16
d154,d154_6,d154_1,d154_2,d154_3,d154_4,d154_5
d155,d155_6,d155_1,d155_2,d155_3,d155_4,d155_5
d156,d156_6,d156_1,d156_2,d156_3,d156_4,d156_5
