,summary,config
10,"{'lr': 1e-05, '_step': 199, 'test_acc': 0.9782608695652174, 'train_acc': 1, '_timestamp': 1701881855.293524, 'epoch': 199, '_wandb': {'runtime': 19}, 'val_acc': 0.98, '_runtime': 19.73564505577087}","{'fold': 4, 'model': 'SAGPool', 'epochs': 200, 'layers': 3, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 1, 'dataset_size': 200}"
11,"{'epoch': 199, '_wandb': {'runtime': 19}, 'val_acc': 0.98, '_runtime': 19.6618709564209, 'test_acc': 0.9782608695652174, 'lr': 1e-05, '_step': 199, 'train_acc': 1, '_timestamp': 1701881854.802281}","{'fold': 4, 'model': 'SAGPool', 'epochs': 200, 'layers': 3, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 0, 'dataset_size': 200}"
12,"{'lr': 1e-05, '_step': 199, '_wandb': {'runtime': 17}, 'val_acc': 1, '_runtime': 17.757755041122437, 'train_acc': 1, '_timestamp': 1701881852.706878, 'epoch': 199, 'test_acc': 0.9891304347826086}","{'fold': 4, 'model': 'GCN', 'epochs': 200, 'layers': 3, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 1, 'dataset_size': 200}"
13,"{'_step': 199, '_wandb': {'runtime': 16}, 'val_acc': 1, 'train_acc': 1, 'lr': 1e-05, 'epoch': 199, '_runtime': 17.392024040222168, 'test_acc': 0.967391304347826, '_timestamp': 1701881851.857502}","{'fold': 4, 'model': 'GCN', 'epochs': 200, 'layers': 3, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 0, 'dataset_size': 200}"
14,"{'_step': 199, '_wandb': {'runtime': 22}, 'test_acc': 0.9782608695652174, '_timestamp': 1701881855.830402, 'lr': 1e-05, 'val_acc': 1, '_runtime': 22.913148164749146, 'train_acc': 1, 'epoch': 199}","{'fold': 4, 'model': 'GIN', 'epochs': 200, 'layers': 3, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 1, 'dataset_size': 200}"
15,"{'_step': 199, 'epoch': 199, '_wandb': {'runtime': 23}, '_runtime': 24.069222927093502, 'test_acc': 0.9891304347826086, 'lr': 1e-05, 'val_acc': 1, 'train_acc': 1, '_timestamp': 1701881856.151985}","{'fold': 4, 'model': 'GIN', 'epochs': 200, 'layers': 3, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 0, 'dataset_size': 200}"
16,"{'test_acc': 1, 'train_acc': 1, '_step': 199, 'epoch': 199, '_wandb': {'runtime': 12}, '_timestamp': 1701881824.351773, 'lr': 1e-05, 'val_acc': 1, '_runtime': 12.886033058166504}","{'fold': 4, 'model': 'GlobalAttentionNet', 'epochs': 200, 'layers': 2, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 1, 'dataset_size': 200}"
17,"{'lr': 1e-05, '_step': 199, 'epoch': 199, '_wandb': {'runtime': 12}, '_runtime': 12.988338947296144, 'test_acc': 1, 'val_acc': 1, 'train_acc': 1, '_timestamp': 1701881823.832507}","{'fold': 4, 'model': 'GlobalAttentionNet', 'epochs': 200, 'layers': 2, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 0, 'dataset_size': 200}"
18,"{'lr': 1e-05, '_step': 199, '_runtime': 14.78250527381897, 'test_acc': 0.967391304347826, 'train_acc': 1, 'epoch': 199, '_wandb': {'runtime': 14}, 'val_acc': 0.98, '_timestamp': 1701881822.9023192}","{'fold': 4, 'model': 'SAGPool', 'epochs': 200, 'layers': 2, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 0, 'dataset_size': 200}"
19,"{'_wandb': {'runtime': 14}, 'train_acc': 1, 'lr': 1e-05, 'epoch': 199, 'val_acc': 0.98, '_runtime': 14.557740926742554, 'test_acc': 0.9782608695652174, '_timestamp': 1701881822.779462, '_step': 199}","{'fold': 4, 'model': 'SAGPool', 'epochs': 200, 'layers': 2, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 1, 'dataset_size': 200}"
20,"{'_wandb': {'runtime': 14}, 'test_acc': 0.9891304347826086, '_runtime': 15.08981704711914, 'train_acc': 0.995, '_timestamp': 1701881822.860419, 'lr': 1e-05, '_step': 199, 'epoch': 199, 'val_acc': 0.98}","{'fold': 4, 'model': 'GCN', 'epochs': 200, 'layers': 2, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 1, 'dataset_size': 200}"
21,"{'lr': 1e-05, 'epoch': 199, '_wandb': {'runtime': 15}, '_runtime': 16.231575965881348, '_timestamp': 1701881821.795248, '_step': 199, 'val_acc': 1, 'test_acc': 0.9891304347826086, 'train_acc': 0.995}","{'fold': 4, 'model': 'GCN', 'epochs': 200, 'layers': 2, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 0, 'dataset_size': 200}"
22,"{'_wandb': {'runtime': 19}, 'val_acc': 1, '_runtime': 20.062586069107056, 'train_acc': 1, '_timestamp': 1701881822.335691, 'lr': 1e-05, '_step': 199, 'epoch': 199, 'test_acc': 1}","{'fold': 4, 'model': 'GIN', 'epochs': 200, 'layers': 2, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 1, 'dataset_size': 200}"
23,"{'lr': 1e-05, '_step': 172, 'epoch': 172, 'val_acc': 0.98, '_runtime': 17.76793599128723, 'test_acc': 0.9891304347826086, 'train_acc': 1, '_timestamp': 1701881818.561501}","{'fold': 4, 'model': 'GIN', 'epochs': 200, 'layers': 2, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 0, 'dataset_size': 200}"
24,"{'_step': 199, 'epoch': 199, '_wandb': {'runtime': 9}, 'val_acc': 1, '_runtime': 10.51087999343872, 'test_acc': 0.9891304347826086, 'train_acc': 1, 'lr': 1e-05, '_timestamp': 1701881797.932426}","{'fold': 4, 'model': 'GlobalAttentionNet', 'epochs': 200, 'layers': 1, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 1, 'dataset_size': 200}"
25,"{'_runtime': 10.704859972000122, 'train_acc': 1, 'lr': 1e-05, 'epoch': 199, '_wandb': {'runtime': 10}, '_timestamp': 1701881797.592892, '_step': 199, 'val_acc': 1, 'test_acc': 0.9891304347826086}","{'fold': 4, 'model': 'GlobalAttentionNet', 'epochs': 200, 'layers': 1, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 0, 'dataset_size': 200}"
26,"{'_wandb': {'runtime': 10}, '_timestamp': 1701881796.839154, 'train_acc': 1, 'lr': 1e-05, '_step': 199, 'epoch': 199, 'val_acc': 0.98, '_runtime': 11.165589094161987, 'test_acc': 0.967391304347826}","{'fold': 4, 'model': 'SAGPool', 'epochs': 200, 'layers': 1, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 1, 'dataset_size': 200}"
27,"{'lr': 1e-05, '_step': 199, '_wandb': {'runtime': 11}, 'val_acc': 0.98, 'test_acc': 0.967391304347826, 'train_acc': 1, 'epoch': 199, '_runtime': 11.572865962982178, '_timestamp': 1701881796.896733}","{'fold': 4, 'model': 'SAGPool', 'epochs': 200, 'layers': 1, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 0, 'dataset_size': 200}"
28,"{'lr': 1e-05, 'epoch': 199, '_wandb': {'runtime': 11}, 'val_acc': 1, '_runtime': 12.342735052108765, 'test_acc': 1, 'train_acc': 0.995, '_step': 199, '_timestamp': 1701881796.631542}","{'fold': 4, 'model': 'GCN', 'epochs': 200, 'layers': 1, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 1, 'dataset_size': 200}"
29,"{'_timestamp': 1701881793.895047, 'lr': 1e-05, 'val_acc': 1, '_runtime': 13.97899603843689, 'test_acc': 0.9891304347826086, '_step': 199, 'epoch': 199, '_wandb': {'runtime': 13}, 'train_acc': 0.995}","{'fold': 4, 'model': 'GCN', 'epochs': 200, 'layers': 1, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 0, 'dataset_size': 200}"
30,"{'_step': 199, 'epoch': 199, '_runtime': 15.56348204612732, 'test_acc': 0.9891304347826086, 'train_acc': 1, 'lr': 1e-05, '_wandb': {'runtime': 15}, 'val_acc': 0.98, '_timestamp': 1701881795.398297}","{'fold': 4, 'model': 'GIN', 'epochs': 200, 'layers': 1, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 1, 'dataset_size': 200}"
31,"{'lr': 1e-05, '_step': 199, 'epoch': 199, 'test_acc': 0.9891304347826086, '_timestamp': 1701881791.4351912, '_wandb': {'runtime': 14}, 'val_acc': 0.96, '_runtime': 15.09672713279724, 'train_acc': 1}","{'fold': 4, 'model': 'GIN', 'epochs': 200, 'layers': 1, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 64, 'repetitions': 0, 'dataset_size': 200}"
32,"{'lr': 1e-05, '_step': 199, 'epoch': 199, 'val_acc': 1, '_wandb': {'runtime': 14}, '_runtime': 15.08470606803894, 'test_acc': 1, 'train_acc': 1, '_timestamp': 1701881770.526953}","{'fold': 4, 'model': 'GlobalAttentionNet', 'epochs': 200, 'layers': 4, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 1, 'dataset_size': 200}"
33,"{'lr': 1e-05, 'test_acc': 0.9891304347826086, 'train_acc': 0.975, '_step': 199, 'epoch': 199, '_wandb': {'runtime': 14}, 'val_acc': 0.96, '_runtime': 15.193021059036257, '_timestamp': 1701881770.597585}","{'fold': 4, 'model': 'GlobalAttentionNet', 'epochs': 200, 'layers': 4, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 0, 'dataset_size': 200}"
34,"{'lr': 1e-05, '_step': 199, 'epoch': 199, 'train_acc': 1, '_wandb': {'runtime': 16}, 'val_acc': 0.98, '_runtime': 17.257248163223267, 'test_acc': 0.9891304347826086, '_timestamp': 1701881771.988464}","{'fold': 4, 'model': 'SAGPool', 'epochs': 200, 'layers': 4, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 0, 'dataset_size': 200}"
35,"{'epoch': 199, '_wandb': {'runtime': 16}, '_runtime': 16.864041090011597, 'train_acc': 1, '_timestamp': 1701881772.466666, 'lr': 1e-05, '_step': 199, 'val_acc': 0.98, 'test_acc': 0.9782608695652174}","{'fold': 4, 'model': 'SAGPool', 'epochs': 200, 'layers': 4, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 1, 'dataset_size': 200}"
36,"{'_runtime': 16.93350601196289, 'train_acc': 0.7, '_timestamp': 1701881769.965348, 'lr': 1e-05, 'epoch': 199, '_wandb': {'runtime': 16}, 'val_acc': 0.68, '_step': 199, 'test_acc': 0.6521739130434783}","{'fold': 4, 'model': 'GCN', 'epochs': 200, 'layers': 4, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 1, 'dataset_size': 200}"
37,"{'epoch': 199, 'test_acc': 0.9891304347826086, 'train_acc': 0.97, 'lr': 1e-05, '_step': 199, '_wandb': {'runtime': 17}, 'val_acc': 0.94, '_runtime': 17.8754460811615, '_timestamp': 1701881768.512885}","{'fold': 4, 'model': 'GCN', 'epochs': 200, 'layers': 4, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 0, 'dataset_size': 200}"
38,"{'_step': 199, 'val_acc': 1, '_runtime': 23.587173223495483, '_timestamp': 1701881772.986714, 'lr': 1e-05, 'epoch': 199, '_wandb': {'runtime': 22}, 'test_acc': 0.967391304347826, 'train_acc': 1}","{'fold': 4, 'model': 'GIN', 'epochs': 200, 'layers': 4, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 1, 'dataset_size': 200}"
39,"{'lr': 1e-05, 'epoch': 199, '_wandb': {'runtime': 23}, 'test_acc': 0.9782608695652174, '_timestamp': 1701881772.987564, '_step': 199, 'val_acc': 0.98, '_runtime': 23.854379177093502, 'train_acc': 0.995}","{'fold': 4, 'model': 'GIN', 'epochs': 200, 'layers': 4, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 0, 'dataset_size': 200}"
40,"{'lr': 1e-05, 'train_acc': 1, '_runtime': 13.875527143478394, 'test_acc': 1, '_timestamp': 1701881742.428549, '_step': 199, 'epoch': 199, '_wandb': {'runtime': 13}, 'val_acc': 1}","{'fold': 4, 'model': 'GlobalAttentionNet', 'epochs': 200, 'layers': 3, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 1, 'dataset_size': 200}"
41,"{'train_acc': 1, 'lr': 1e-05, '_step': 199, '_wandb': {'runtime': 13}, 'test_acc': 1, 'epoch': 199, 'val_acc': 1, '_runtime': 13.779531002044678, '_timestamp': 1701881742.295205}","{'fold': 4, 'model': 'GlobalAttentionNet', 'epochs': 200, 'layers': 3, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 0, 'dataset_size': 200}"
42,"{'epoch': 199, '_runtime': 15.794579982757568, 'train_acc': 1, 'val_acc': 0.96, 'test_acc': 0.9782608695652174, '_timestamp': 1701881743.439847, 'lr': 1e-05, '_step': 199, '_wandb': {'runtime': 15}}","{'fold': 4, 'model': 'SAGPool', 'epochs': 200, 'layers': 3, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 1, 'dataset_size': 200}"
43,"{'epoch': 199, '_wandb': {'runtime': 16}, 'val_acc': 0.96, '_runtime': 17.268638849258423, '_timestamp': 1701881742.4796329, '_step': 199, 'test_acc': 0.9347826086956522, 'train_acc': 0.995, 'lr': 1e-05}","{'fold': 4, 'model': 'SAGPool', 'epochs': 200, 'layers': 3, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 0, 'dataset_size': 200}"
44,"{'lr': 1e-05, '_step': 199, 'epoch': 199, '_wandb': {'runtime': 14}, 'val_acc': 0.96, '_runtime': 15.460849046707152, '_timestamp': 1701881739.370469, 'test_acc': 0.9782608695652174, 'train_acc': 0.97}","{'fold': 4, 'model': 'GCN', 'epochs': 200, 'layers': 3, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 1, 'dataset_size': 200}"
45,"{'train_acc': 0.99, '_timestamp': 1701881738.988714, 'epoch': 199, '_runtime': 15.285912036895752, '_wandb': {'runtime': 14}, 'val_acc': 0.98, 'test_acc': 0.9565217391304348, 'lr': 1e-05, '_step': 199}","{'fold': 4, 'model': 'GCN', 'epochs': 200, 'layers': 3, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 0, 'dataset_size': 200}"
46,"{'_runtime': 20.42236018180847, 'test_acc': 1, '_timestamp': 1701881743.912922, 'lr': 1e-05, 'val_acc': 1, '_wandb': {'runtime': 19}, 'train_acc': 1, '_step': 199, 'epoch': 199}","{'fold': 4, 'model': 'GIN', 'epochs': 200, 'layers': 3, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 0, 'dataset_size': 200}"
47,"{'_step': 199, '_wandb': {'runtime': 19}, '_runtime': 20.44490885734558, 'test_acc': 0.9891304347826086, '_timestamp': 1701881743.910854, 'lr': 1e-05, 'val_acc': 1, 'train_acc': 1, 'epoch': 199}","{'fold': 4, 'model': 'GIN', 'epochs': 200, 'layers': 3, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 1, 'dataset_size': 200}"
48,"{'epoch': 199, 'val_acc': 1, 'train_acc': 1, '_runtime': 12.207268953323364, 'test_acc': 1, '_timestamp': 1701881714.384703, 'lr': 1e-05, '_step': 199, '_wandb': {'runtime': 11}}","{'fold': 4, 'model': 'GlobalAttentionNet', 'epochs': 200, 'layers': 2, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 1, 'dataset_size': 200}"
49,"{'_step': 199, 'epoch': 199, '_wandb': {'runtime': 12}, 'val_acc': 1, 'train_acc': 1, 'lr': 1e-05, '_runtime': 13.186909914016724, 'test_acc': 0.9891304347826086, '_timestamp': 1701881712.931128}","{'fold': 4, 'model': 'GlobalAttentionNet', 'epochs': 200, 'layers': 2, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 0, 'dataset_size': 200}"
50,"{'_runtime': 12.997256994247437, 'test_acc': 0.9565217391304348, '_step': 199, 'epoch': 199, 'val_acc': 0.98, '_timestamp': 1701881711.542905, 'lr': 1e-05, '_wandb': {'runtime': 12}, 'train_acc': 1}","{'fold': 4, 'model': 'SAGPool', 'epochs': 200, 'layers': 2, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 0, 'dataset_size': 200}"
51,"{'_timestamp': 1701881711.8955789, 'lr': 1e-05, '_step': 199, 'val_acc': 0.98, '_runtime': 13.323527812957764, 'test_acc': 0.9565217391304348, 'epoch': 199, '_wandb': {'runtime': 12}, 'train_acc': 1}","{'fold': 4, 'model': 'SAGPool', 'epochs': 200, 'layers': 2, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 1, 'dataset_size': 200}"
52,"{'_step': 199, 'epoch': 199, '_wandb': {'runtime': 15}, 'val_acc': 0.98, '_runtime': 16.229265928268433, 'lr': 1e-05, 'train_acc': 1, '_timestamp': 1701881714.156309, 'test_acc': 0.9891304347826086}","{'fold': 4, 'model': 'GIN', 'epochs': 200, 'layers': 2, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 1, 'dataset_size': 200}"
53,"{'train_acc': 0.985, '_step': 199, 'epoch': 199, '_wandb': {'runtime': 13}, '_runtime': 14.123284816741943, 'lr': 1e-05, 'val_acc': 0.96, 'test_acc': 0.9347826086956522, '_timestamp': 1701881712.5019178}","{'fold': 4, 'model': 'GCN', 'epochs': 200, 'layers': 2, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 1, 'dataset_size': 200}"
54,"{'epoch': 199, 'test_acc': 0.9782608695652174, '_timestamp': 1701881712.31299, 'lr': 1e-05, '_step': 199, '_wandb': {'runtime': 13}, 'val_acc': 0.98, '_runtime': 13.7496440410614, 'train_acc': 0.97}","{'fold': 4, 'model': 'GCN', 'epochs': 200, 'layers': 2, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 0, 'dataset_size': 200}"
55,"{'_timestamp': 1701881713.6945229, 'lr': 1e-05, 'epoch': 199, '_runtime': 18.072738885879517, 'test_acc': 0.9891304347826086, '_step': 199, '_wandb': {'runtime': 17}, 'val_acc': 1, 'train_acc': 1}","{'fold': 4, 'model': 'GIN', 'epochs': 200, 'layers': 2, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 0, 'dataset_size': 200}"
56,"{'val_acc': 1, '_runtime': 10.13222599029541, '_timestamp': 1701881688.512189, 'lr': 1e-05, '_step': 199, 'epoch': 199, '_wandb': {'runtime': 9}, 'test_acc': 0.9891304347826086, 'train_acc': 1}","{'fold': 4, 'model': 'GlobalAttentionNet', 'epochs': 200, 'layers': 1, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 1, 'dataset_size': 200}"
57,"{'epoch': 199, '_wandb': {'runtime': 10}, 'train_acc': 1, '_timestamp': 1701881688.0711198, 'lr': 1e-05, '_step': 199, 'test_acc': 0.9782608695652174, 'val_acc': 1, '_runtime': 10.53419589996338}","{'fold': 4, 'model': 'GlobalAttentionNet', 'epochs': 200, 'layers': 1, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 0, 'dataset_size': 200}"
58,"{'_step': 199, 'epoch': 199, '_wandb': {'runtime': 10}, 'val_acc': 0.98, 'test_acc': 0.967391304347826, 'train_acc': 1, 'lr': 1e-05, '_runtime': 10.720314979553224, '_timestamp': 1701881687.384913}","{'fold': 4, 'model': 'SAGPool', 'epochs': 200, 'layers': 1, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 1, 'dataset_size': 200}"
59,"{'lr': 1e-05, '_step': 199, 'train_acc': 0.995, 'test_acc': 0.9565217391304348, '_timestamp': 1701881687.32163, 'epoch': 199, '_wandb': {'runtime': 10}, 'val_acc': 0.98, '_runtime': 10.84982705116272}","{'fold': 4, 'model': 'SAGPool', 'epochs': 200, 'layers': 1, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 0, 'dataset_size': 200}"
60,"{'val_acc': 1, '_runtime': 12.7737078666687, 'test_acc': 0.9891304347826086, 'lr': 1e-05, '_step': 199, 'train_acc': 0.995, '_timestamp': 1701881686.843591, 'epoch': 199, '_wandb': {'runtime': 12}}","{'fold': 4, 'model': 'GCN', 'epochs': 200, 'layers': 1, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 0, 'dataset_size': 200}"
61,"{'_timestamp': 1701881686.85924, 'train_acc': 0.995, '_step': 199, 'epoch': 199, '_wandb': {'runtime': 11}, 'val_acc': 1, '_runtime': 12.331215143203735, 'test_acc': 0.9891304347826086, 'lr': 1e-05}","{'fold': 4, 'model': 'GCN', 'epochs': 200, 'layers': 1, 'dataset': 'HotIn', 'start_lr': 0.01, 'batch_size': 32, 'hidden_dims': 32, 'repetitions': 1, 'dataset_size': 200}"
