id,bank_to,amount,symbol
54,qr,'a16=3018_35<x<=4379_85',uver
55,mn,'a16=1292<x<=3018_35',uver
56,cd,'a16=6822_5<x<=+inf',uver
56,ef,'a16=6822_5<x<=+inf',sipo
56,ij,'a16=_inf<x<=1292',pojistne
56,mn,'a16=1292<x<=3018_35',none
57,uv,'a16=3018_35<x<=4379_85',uver
58,gh,'a16=_inf<x<=1292',uver
58,ij,'a16=_inf<x<=1292',sipo
58,kl,'a16=1292<x<=3018_35',pojistne
58,wx,'a16=1292<x<=3018_35',none
59,cd,'a16=_inf<x<=1292',none
59,ef,'a16=4379_85<x<=6822_5',uver
59,uv,'a16=6822_5<x<=+inf',sipo
60,ab,'a16=6822_5<x<=+inf',uver
61,ef,'a16=3018_35<x<=4379_85',none
61,ef,'a16=6822_5<x<=+inf',sipo
61,ij,'a16=3018_35<x<=4379_85',uver
62,op,'a16=6822_5<x<=+inf',uver
63,op,'a16=1292<x<=3018_35',sipo
63,op,'a16=_inf<x<=1292',none
63,st,'a16=4379_85<x<=6822_5',uver
66,ab,'a16=4379_85<x<=6822_5',sipo
66,kl,'a16=1292<x<=3018_35',uver
67,ef,'a16=4379_85<x<=6822_5',none
67,kl,'a16=_inf<x<=1292',sipo
67,mn,'a16=6822_5<x<=+inf',uver
68,kl,'a16=_inf<x<=1292',uver
68,kl,'a16=_inf<x<=1292',sipo
68,kl,'a16=_inf<x<=1292',pojistne
68,qr,'a16=4379_85<x<=6822_5',none
68,qr,'a16=_inf<x<=1292',none
69,gh,'a16=3018_35<x<=4379_85',uver
69,ij,'a16=3018_35<x<=4379_85',sipo
70,ab,'a16=3018_35<x<=4379_85',uver
71,mn,'a16=4379_85<x<=6822_5',uver
71,yz,'a16=1292<x<=3018_35',sipo
73,ef,'a16=3018_35<x<=4379_85',uver
74,qr,'a16=4379_85<x<=6822_5',uver
75,ab,'a16=1292<x<=3018_35',none
75,cd,'a16=6822_5<x<=+inf',sipo
75,st,'a16=3018_35<x<=4379_85',uver
76,op,'a16=4379_85<x<=6822_5',uver
77,ab,'a16=_inf<x<=1292',none
77,ab,'a16=6822_5<x<=+inf',uver
77,ab,'a16=6822_5<x<=+inf',sipo
77,cd,'a16=_inf<x<=1292',pojistne
79,ij,'a16=3018_35<x<=4379_85',uver
8,mn,'a16=6822_5<x<=+inf',uver
80,ab,'a16=1292<x<=3018_35',none
80,ef,'a16=3018_35<x<=4379_85',uver
80,ef,'a16=4379_85<x<=6822_5',sipo
81,cd,'a16=6822_5<x<=+inf',uver
81,kl,'a16=4379_85<x<=6822_5',sipo
82,kl,'a16=3018_35<x<=4379_85',sipo
82,mn,'a16=3018_35<x<=4379_85',pojistne
82,wx,'a16=1292<x<=3018_35',uver
82,yz,'a16=_inf<x<=1292',none
82,yz,'a16=_inf<x<=1292',none
83,gh,'a16=1292<x<=3018_35',none
83,kl,'a16=6822_5<x<=+inf',uver
83,st,'a16=1292<x<=3018_35',sipo
85,ij,'a16=6822_5<x<=+inf',sipo
85,yz,'a16=4379_85<x<=6822_5',uver
86,ef,'a16=4379_85<x<=6822_5',uver
86,gh,'a16=3018_35<x<=4379_85',sipo
86,mn,'a16=1292<x<=3018_35',none
86,wx,'a16=1292<x<=3018_35',none
86,yz,'a16=3018_35<x<=4379_85',pojistne
87,ef,'a16=1292<x<=3018_35',none
87,gh,'a16=4379_85<x<=6822_5',pojistne
87,qr,'a16=_inf<x<=1292',uver
87,uv,'a16=1292<x<=3018_35',sipo
88,wx,'a16=4379_85<x<=6822_5',uver
89,op,'a16=4379_85<x<=6822_5',uver
9,op,'a16=3018_35<x<=4379_85',uver
90,uv,'a16=1292<x<=3018_35',uver
92,ij,'a16=4379_85<x<=6822_5',sipo
92,qr,'a16=6822_5<x<=+inf',uver
93,ef,'a16=_inf<x<=1292',none
93,st,'a16=4379_85<x<=6822_5',sipo
93,uv,'a16=6822_5<x<=+inf',uver
94,kl,'a16=3018_35<x<=4379_85',none
94,mn,'a16=_inf<x<=1292',uver
94,uv,'a16=1292<x<=3018_35',sipo
96,qr,'a16=1292<x<=3018_35',uver
96,yz,'a16=6822_5<x<=+inf',sipo
97,ab,'a16=1292<x<=3018_35',uver
97,cd,'a16=1292<x<=3018_35',sipo
97,ij,'a16=_inf<x<=1292',pojistne
97,st,'a16=_inf<x<=1292',none
97,yz,'a16=_inf<x<=1292',none
98,uv,'a16=3018_35<x<=4379_85',uver
