id,atom_id,atom_type,charge
d122,d122_10,3,'a0=0_0615<x<=0_1375'
d122,d122_17,3,'a0=0_0615<x<=0_1375'
d122,d122_18,3,'a0=0_0615<x<=0_1375'
d122,d122_19,3,'a0=0_0615<x<=0_1375'
d122,d122_20,3,'a0=0_0615<x<=0_1375'
d122,d122_23,3,'a0=0_0615<x<=0_1375'
d122,d122_29,3,'a0=_0_0175<x<=0_0615'
d122,d122_30,3,'a0=_0_0175<x<=0_0615'
d122,d122_31,3,'a0=_0_0175<x<=0_0615'
d122,d122_34,3,'a0=_0_0175<x<=0_0615'
d122,d122_35,3,'a0=_0_0175<x<=0_0615'
d122,d122_36,3,'a0=_0_0175<x<=0_0615'
d122,d122_7,3,'a0=0_0615<x<=0_1375'
d122,d122_8,3,'a0=0_0615<x<=0_1375'
d122,d122_9,3,'a0=0_0615<x<=0_1375'
d125,d125_10,3,'a0=0_1375<x<=+inf'
d125,d125_17,3,'a0=0_1375<x<=+inf'
d125,d125_18,3,'a0=0_1375<x<=+inf'
d125,d125_19,3,'a0=0_1375<x<=+inf'
d125,d125_20,3,'a0=0_1375<x<=+inf'
d125,d125_23,3,'a0=0_0615<x<=0_1375'
d125,d125_7,3,'a0=0_1375<x<=+inf'
d125,d125_8,3,'a0=0_1375<x<=+inf'
d125,d125_9,3,'a0=0_1375<x<=+inf'
d126,d126_13,3,'a0=_0_0175<x<=0_0615'
d126,d126_14,3,'a0=_0_0175<x<=0_0615'
d126,d126_15,3,'a0=_0_0175<x<=0_0615'
d126,d126_16,3,'a0=_0_0175<x<=0_0615'
d126,d126_17,3,'a0=_0_0175<x<=0_0615'
d126,d126_18,3,'a0=_0_0175<x<=0_0615'
d128,d128_14,3,'a0=0_0615<x<=0_1375'
d128,d128_15,3,'a0=0_0615<x<=0_1375'
d128,d128_17,3,'a0=0_0615<x<=0_1375'
d128,d128_24,3,'a0=_0_0175<x<=0_0615'
d128,d128_25,3,'a0=0_0615<x<=0_1375'
d128,d128_26,3,'a0=_0_0175<x<=0_0615'
d128,d128_7,3,'a0=0_0615<x<=0_1375'
d128,d128_9,3,'a0=_0_0175<x<=0_0615'
d130,d130_10,3,'a0=0_1375<x<=+inf'
d130,d130_14,3,'a0=0_0615<x<=0_1375'
d130,d130_7,3,'a0=0_1375<x<=+inf'
d130,d130_8,3,'a0=0_1375<x<=+inf'
d130,d130_9,3,'a0=0_1375<x<=+inf'
d131,d131_11,3,'a0=0_0615<x<=0_1375'
d131,d131_12,3,'a0=0_0615<x<=0_1375'
d131,d131_13,3,'a0=0_0615<x<=0_1375'
d132,d132_10,3,'a0=0_0615<x<=0_1375'
d132,d132_17,3,'a0=0_0615<x<=0_1375'
d132,d132_18,3,'a0=0_0615<x<=0_1375'
d132,d132_19,3,'a0=0_0615<x<=0_1375'
d132,d132_20,3,'a0=0_0615<x<=0_1375'
d132,d132_23,3,'a0=0_0615<x<=0_1375'
d132,d132_25,3,'a0=_0_0175<x<=0_0615'
d132,d132_26,3,'a0=_0_0175<x<=0_0615'
d132,d132_28,3,'a0=_0_0175<x<=0_0615'
d132,d132_29,3,'a0=_0_0175<x<=0_0615'
d132,d132_31,3,'a0=_0_0175<x<=0_0615'
d132,d132_32,3,'a0=_0_0175<x<=0_0615'
d132,d132_33,3,'a0=_0_0175<x<=0_0615'
d132,d132_35,3,'a0=_0_0175<x<=0_0615'
d132,d132_36,3,'a0=_0_0175<x<=0_0615'
d132,d132_37,3,'a0=_0_0175<x<=0_0615'
d132,d132_7,3,'a0=0_0615<x<=0_1375'
d132,d132_8,3,'a0=0_0615<x<=0_1375'
d132,d132_9,3,'a0=0_0615<x<=0_1375'
d133,d133_13,8,'a0=0_1375<x<=+inf'
d133,d133_7,3,'a0=0_1375<x<=+inf'
d133,d133_8,3,'a0=0_1375<x<=+inf'
d133,d133_9,3,'a0=0_1375<x<=+inf'
d134,d134_10,3,'a0=0_0615<x<=0_1375'
d134,d134_11,3,'a0=0_0615<x<=0_1375'
d134,d134_12,3,'a0=0_0615<x<=0_1375'
d134,d134_7,3,'a0=0_0615<x<=0_1375'
d134,d134_8,3,'a0=0_0615<x<=0_1375'
d134,d134_9,3,'a0=0_0615<x<=0_1375'
d135,d135_10,3,'a0=0_1375<x<=+inf'
d135,d135_17,3,'a0=_0_0175<x<=0_0615'
d135,d135_18,3,'a0=_0_0175<x<=0_0615'
d135,d135_19,3,'a0=_0_0175<x<=0_0615'
d135,d135_20,3,'a0=_0_0175<x<=0_0615'
d135,d135_21,3,'a0=_0_0175<x<=0_0615'
d135,d135_23,3,'a0=_0_0175<x<=0_0615'
d135,d135_24,3,'a0=_0_0175<x<=0_0615'
d135,d135_26,3,'a0=_0_0175<x<=0_0615'
d135,d135_27,3,'a0=_0_0175<x<=0_0615'
d135,d135_29,3,'a0=_0_0175<x<=0_0615'
d135,d135_30,3,'a0=_0_0175<x<=0_0615'
d135,d135_31,3,'a0=_0_0175<x<=0_0615'
d135,d135_32,3,'a0=_0_0175<x<=0_0615'
d135,d135_33,3,'a0=_0_0175<x<=0_0615'
d135,d135_36,3,'a0=0_0615<x<=0_1375'
d135,d135_37,3,'a0=0_0615<x<=0_1375'
d135,d135_38,3,'a0=_0_1355<x<=_0_0175'
d135,d135_43,3,'a0=0_0615<x<=0_1375'
d135,d135_44,3,'a0=0_0615<x<=0_1375'
d135,d135_46,3,'a0=_0_0175<x<=0_0615'
d135,d135_47,3,'a0=_0_0175<x<=0_0615'
d135,d135_48,3,'a0=_0_0175<x<=0_0615'
d135,d135_50,3,'a0=_0_1355<x<=_0_0175'
d135,d135_52,3,'a0=_0_0175<x<=0_0615'
d135,d135_53,3,'a0=_0_0175<x<=0_0615'
d135,d135_55,3,'a0=_0_0175<x<=0_0615'
d135,d135_56,3,'a0=_0_0175<x<=0_0615'
d135,d135_58,3,'a0=_0_0175<x<=0_0615'
d135,d135_59,3,'a0=_0_0175<x<=0_0615'
d135,d135_60,3,'a0=_0_0175<x<=0_0615'
d135,d135_61,3,'a0=_0_0175<x<=0_0615'
d135,d135_62,3,'a0=_0_0175<x<=0_0615'
d135,d135_7,3,'a0=0_1375<x<=+inf'
d135,d135_8,3,'a0=0_1375<x<=+inf'
d135,d135_9,3,'a0=0_1375<x<=+inf'
d136,d136_10,3,'a0=0_0615<x<=0_1375'
d136,d136_11,3,'a0=0_0615<x<=0_1375'
d136,d136_16,3,'a0=0_0615<x<=0_1375'
d136,d136_17,3,'a0=0_0615<x<=0_1375'
d136,d136_20,1,'a0=0_1375<x<=+inf'
d136,d136_21,1,'a0=0_1375<x<=+inf'
d136,d136_22,1,'a0=0_1375<x<=+inf'
d136,d136_4,3,'a0=0_0615<x<=0_1375'
d136,d136_5,3,'a0=0_0615<x<=0_1375'
d137,d137_16,3,'a0=_0_0175<x<=0_0615'
d137,d137_17,3,'a0=_0_0175<x<=0_0615'
d137,d137_18,3,'a0=_0_0175<x<=0_0615'
d137,d137_19,3,'a0=_0_0175<x<=0_0615'
d137,d137_23,3,'a0=_0_0175<x<=0_0615'
d137,d137_24,3,'a0=_0_0175<x<=0_0615'
d137,d137_25,3,'a0=_0_0175<x<=0_0615'
d137,d137_30,3,'a0=_0_0175<x<=0_0615'
d137,d137_31,3,'a0=_0_0175<x<=0_0615'
d137,d137_32,3,'a0=_0_0175<x<=0_0615'
d137,d137_33,3,'a0=_0_0175<x<=0_0615'
d137,d137_34,3,'a0=_0_0175<x<=0_0615'
d137,d137_39,3,'a0=_0_1355<x<=_0_0175'
d137,d137_40,3,'a0=_0_1355<x<=_0_0175'
d137,d137_41,3,'a0=_0_0175<x<=0_0615'
d137,d137_42,3,'a0=_0_0175<x<=0_0615'
d137,d137_44,3,'a0=0_0615<x<=0_1375'
d137,d137_47,3,'a0=0_0615<x<=0_1375'
d137,d137_48,3,'a0=0_0615<x<=0_1375'
d137,d137_49,3,'a0=0_0615<x<=0_1375'
d137,d137_52,3,'a0=_0_0175<x<=0_0615'
d137,d137_54,3,'a0=_0_0175<x<=0_0615'
d137,d137_55,3,'a0=_0_0175<x<=0_0615'
d137,d137_56,3,'a0=_0_0175<x<=0_0615'
d137,d137_58,3,'a0=0_1375<x<=+inf'
d137,d137_66,3,'a0=0_0615<x<=0_1375'
d137,d137_67,3,'a0=0_0615<x<=0_1375'
d137,d137_7,3,'a0=0_0615<x<=0_1375'
d137,d137_71,3,'a0=_0_0175<x<=0_0615'
d137,d137_72,3,'a0=_0_0175<x<=0_0615'
d137,d137_73,3,'a0=_0_0175<x<=0_0615'
d137,d137_76,3,'a0=_0_0175<x<=0_0615'
d137,d137_77,3,'a0=_0_0175<x<=0_0615'
d137,d137_78,3,'a0=_0_0175<x<=0_0615'
d137,d137_8,3,'a0=0_0615<x<=0_1375'
d137,d137_81,3,'a0=_0_0175<x<=0_0615'
d137,d137_82,3,'a0=_0_0175<x<=0_0615'
d137,d137_83,3,'a0=_0_0175<x<=0_0615'
d137,d137_84,1,'a0=0_1375<x<=+inf'
d137,d137_9,3,'a0=0_0615<x<=0_1375'
d138,d138_10,3,'a0=0_0615<x<=0_1375'
d138,d138_13,8,'a0=0_1375<x<=+inf'
d138,d138_14,8,'a0=0_1375<x<=+inf'
d138,d138_7,3,'a0=0_0615<x<=0_1375'
d138,d138_8,3,'a0=0_0615<x<=0_1375'
d138,d138_9,3,'a0=0_0615<x<=0_1375'
d139,d139_10,3,'a0=_0_0175<x<=0_0615'
d139,d139_11,3,'a0=_0_0175<x<=0_0615'
d139,d139_13,3,'a0=_0_0175<x<=0_0615'
d139,d139_14,3,'a0=_0_0175<x<=0_0615'
d139,d139_16,3,'a0=_0_0175<x<=0_0615'
d139,d139_17,3,'a0=_0_0175<x<=0_0615'
d139,d139_19,3,'a0=_0_0175<x<=0_0615'
d139,d139_20,3,'a0=_0_0175<x<=0_0615'
d139,d139_22,3,'a0=_0_0175<x<=0_0615'
d139,d139_23,3,'a0=_0_0175<x<=0_0615'
d139,d139_25,3,'a0=_0_0175<x<=0_0615'
d139,d139_26,3,'a0=_0_0175<x<=0_0615'
d139,d139_28,3,'a0=_0_0175<x<=0_0615'
d139,d139_29,3,'a0=_0_0175<x<=0_0615'
d139,d139_32,1,'a0=0_1375<x<=+inf'
d139,d139_34,3,'a0=_0_0175<x<=0_0615'
d139,d139_35,3,'a0=_0_0175<x<=0_0615'
d139,d139_36,1,'a0=0_1375<x<=+inf'
d139,d139_37,1,'a0=0_1375<x<=+inf'
d139,d139_4,3,'a0=_0_0175<x<=0_0615'
d139,d139_5,3,'a0=_0_0175<x<=0_0615'
d139,d139_7,3,'a0=_0_0175<x<=0_0615'
d139,d139_8,3,'a0=_0_0175<x<=0_0615'
d14,d14_10,3,'a0=0_0615<x<=0_1375'
d14,d14_11,3,'a0=0_0615<x<=0_1375'
d14,d14_20,3,'a0=0_0615<x<=0_1375'
d14,d14_21,3,'a0=0_0615<x<=0_1375'
d14,d14_22,3,'a0=0_0615<x<=0_1375'
d14,d14_23,3,'a0=0_0615<x<=0_1375'
d14,d14_24,3,'a0=0_0615<x<=0_1375'
d14,d14_25,1,'a0=0_1375<x<=+inf'
d14,d14_26,1,'a0=0_1375<x<=+inf'
d14,d14_7,3,'a0=0_0615<x<=0_1375'
d14,d14_8,3,'a0=0_0615<x<=0_1375'
d14,d14_9,3,'a0=0_0615<x<=0_1375'
d141,d141_10,3,'a0=0_0615<x<=0_1375'
d141,d141_11,3,'a0=0_0615<x<=0_1375'
d141,d141_14,3,'a0=0_0615<x<=0_1375'
d141,d141_15,3,'a0=0_0615<x<=0_1375'
d141,d141_18,3,'a0=_0_0175<x<=0_0615'
d141,d141_19,3,'a0=_0_0175<x<=0_0615'
d141,d141_20,3,'a0=_0_0175<x<=0_0615'
d141,d141_7,3,'a0=0_0615<x<=0_1375'
d141,d141_8,3,'a0=0_0615<x<=0_1375'
d141,d141_9,3,'a0=0_0615<x<=0_1375'
d142,d142_10,3,'a0=0_1375<x<=+inf'
d142,d142_15,1,'a0=0_1375<x<=+inf'
d142,d142_7,3,'a0=0_1375<x<=+inf'
d142,d142_8,3,'a0=0_1375<x<=+inf'
d142,d142_9,3,'a0=0_1375<x<=+inf'
d144,d144_10,3,'a0=_0_0175<x<=0_0615'
d144,d144_11,3,'a0=_0_0175<x<=0_0615'
d144,d144_12,3,'a0=_0_0175<x<=0_0615'
d144,d144_13,3,'a0=_0_0175<x<=0_0615'
d144,d144_15,3,'a0=_0_1355<x<=_0_0175'
d144,d144_17,3,'a0=_0_0175<x<=0_0615'
d144,d144_18,3,'a0=_0_0175<x<=0_0615'
d144,d144_20,3,'a0=_0_0175<x<=0_0615'
d144,d144_21,3,'a0=_0_0175<x<=0_0615'
d144,d144_23,3,'a0=_0_0175<x<=0_0615'
d144,d144_24,3,'a0=_0_0175<x<=0_0615'
d144,d144_25,3,'a0=_0_0175<x<=0_0615'
d144,d144_26,3,'a0=_0_0175<x<=0_0615'
d144,d144_27,3,'a0=_0_0175<x<=0_0615'
d144,d144_36,3,'a0=0_0615<x<=0_1375'
d144,d144_37,3,'a0=0_0615<x<=0_1375'
d144,d144_40,3,'a0=_0_0175<x<=0_0615'
d144,d144_41,3,'a0=_0_0175<x<=0_0615'
d144,d144_42,3,'a0=_0_0175<x<=0_0615'
d144,d144_43,3,'a0=_0_0175<x<=0_0615'
d144,d144_44,3,'a0=_0_0175<x<=0_0615'
d144,d144_46,3,'a0=_0_1355<x<=_0_0175'
d144,d144_48,3,'a0=_0_0175<x<=0_0615'
d144,d144_49,3,'a0=_0_0175<x<=0_0615'
d144,d144_5,3,'a0=0_0615<x<=0_1375'
d144,d144_51,3,'a0=_0_0175<x<=0_0615'
d144,d144_52,3,'a0=_0_0175<x<=0_0615'
d144,d144_54,3,'a0=_0_0175<x<=0_0615'
d144,d144_55,3,'a0=_0_0175<x<=0_0615'
d144,d144_56,3,'a0=_0_0175<x<=0_0615'
d144,d144_57,3,'a0=_0_0175<x<=0_0615'
d144,d144_58,3,'a0=_0_0175<x<=0_0615'
d144,d144_6,3,'a0=0_0615<x<=0_1375'
d144,d144_60,3,'a0=_0_0175<x<=0_0615'
d144,d144_61,3,'a0=_0_0175<x<=0_0615'
d144,d144_63,3,'a0=_0_0175<x<=0_0615'
d144,d144_64,3,'a0=_0_0175<x<=0_0615'
d144,d144_65,3,'a0=_0_0175<x<=0_0615'
d144,d144_66,3,'a0=_0_0175<x<=0_0615'
d144,d144_67,3,'a0=_0_0175<x<=0_0615'
d144,d144_68,3,'a0=_0_0175<x<=0_0615'
d144,d144_9,3,'a0=_0_0175<x<=0_0615'
d146,d146_13,3,'a0=_0_0175<x<=0_0615'
d146,d146_14,3,'a0=_0_0175<x<=0_0615'
d146,d146_17,3,'a0=_0_0175<x<=0_0615'
d146,d146_18,3,'a0=_0_0175<x<=0_0615'
d146,d146_20,3,'a0=_0_0175<x<=0_0615'
d146,d146_21,3,'a0=_0_0175<x<=0_0615'
d146,d146_22,3,'a0=_0_0175<x<=0_0615'
d146,d146_24,3,'a0=_0_0175<x<=0_0615'
d146,d146_28,3,'a0=_0_0175<x<=0_0615'
d146,d146_29,3,'a0=_0_0175<x<=0_0615'
d146,d146_31,3,'a0=_0_0175<x<=0_0615'
d146,d146_32,3,'a0=_0_0175<x<=0_0615'
d146,d146_34,3,'a0=_0_0175<x<=0_0615'
d146,d146_35,3,'a0=_0_0175<x<=0_0615'
d146,d146_37,3,'a0=_0_0175<x<=0_0615'
d146,d146_38,3,'a0=_0_0175<x<=0_0615'
d146,d146_40,3,'a0=_0_0175<x<=0_0615'
d146,d146_41,3,'a0=_0_0175<x<=0_0615'
d146,d146_43,3,'a0=_0_0175<x<=0_0615'
d146,d146_44,3,'a0=_0_0175<x<=0_0615'
d146,d146_46,3,'a0=_0_0175<x<=0_0615'
d146,d146_47,3,'a0=_0_0175<x<=0_0615'
d146,d146_48,3,'a0=_0_0175<x<=0_0615'
d146,d146_49,3,'a0=_0_0175<x<=0_0615'
d146,d146_50,3,'a0=_0_0175<x<=0_0615'
d146,d146_7,3,'a0=0_0615<x<=0_1375'
d146,d146_8,3,'a0=0_0615<x<=0_1375'
d146,d146_9,3,'a0=0_0615<x<=0_1375'
d147,d147_10,3,'a0=0_0615<x<=0_1375'
d147,d147_11,3,'a0=0_0615<x<=0_1375'
d147,d147_13,3,'a0=_0_0175<x<=0_0615'
d147,d147_15,3,'a0=0_0615<x<=0_1375'
d147,d147_16,3,'a0=0_0615<x<=0_1375'
d147,d147_17,3,'a0=0_0615<x<=0_1375'
d147,d147_18,3,'a0=0_0615<x<=0_1375'
d147,d147_19,3,'a0=0_0615<x<=0_1375'
d147,d147_21,3,'a0=0_0615<x<=0_1375'
d147,d147_22,3,'a0=0_0615<x<=0_1375'
d147,d147_24,3,'a0=0_0615<x<=0_1375'
d147,d147_25,3,'a0=0_0615<x<=0_1375'
d147,d147_26,3,'a0=0_0615<x<=0_1375'
d147,d147_27,3,'a0=0_0615<x<=0_1375'
d147,d147_28,3,'a0=0_0615<x<=0_1375'
d147,d147_34,3,'a0=0_0615<x<=0_1375'
d147,d147_35,3,'a0=0_0615<x<=0_1375'
d147,d147_38,3,'a0=_0_0175<x<=0_0615'
d147,d147_40,3,'a0=0_0615<x<=0_1375'
d147,d147_41,3,'a0=0_0615<x<=0_1375'
d147,d147_42,3,'a0=0_0615<x<=0_1375'
d147,d147_43,3,'a0=0_0615<x<=0_1375'
d147,d147_44,3,'a0=0_0615<x<=0_1375'
d147,d147_46,3,'a0=0_0615<x<=0_1375'
d147,d147_47,3,'a0=0_0615<x<=0_1375'
d147,d147_49,3,'a0=0_0615<x<=0_1375'
d147,d147_50,3,'a0=0_0615<x<=0_1375'
d147,d147_52,3,'a0=0_0615<x<=0_1375'
d147,d147_53,3,'a0=0_0615<x<=0_1375'
d147,d147_54,3,'a0=0_0615<x<=0_1375'
d147,d147_55,3,'a0=0_0615<x<=0_1375'
d147,d147_56,3,'a0=0_0615<x<=0_1375'
d147,d147_58,3,'a0=0_0615<x<=0_1375'
d147,d147_59,3,'a0=0_0615<x<=0_1375'
d147,d147_6,3,'a0=0_0615<x<=0_1375'
d147,d147_62,3,'a0=_0_0175<x<=0_0615'
d147,d147_64,3,'a0=0_0615<x<=0_1375'
d147,d147_65,3,'a0=0_0615<x<=0_1375'
d147,d147_66,3,'a0=0_0615<x<=0_1375'
d147,d147_67,3,'a0=0_0615<x<=0_1375'
d147,d147_68,3,'a0=0_0615<x<=0_1375'
d147,d147_7,3,'a0=0_0615<x<=0_1375'
d147,d147_70,3,'a0=0_0615<x<=0_1375'
d147,d147_71,3,'a0=0_0615<x<=0_1375'
d147,d147_73,3,'a0=0_0615<x<=0_1375'
d147,d147_74,3,'a0=0_0615<x<=0_1375'
d147,d147_76,3,'a0=0_0615<x<=0_1375'
d147,d147_77,3,'a0=0_0615<x<=0_1375'
d147,d147_78,3,'a0=0_0615<x<=0_1375'
d147,d147_79,3,'a0=0_0615<x<=0_1375'
d147,d147_80,3,'a0=0_0615<x<=0_1375'
d148,d148_10,3,'a0=0_1375<x<=+inf'
d148,d148_11,3,'a0=0_1375<x<=+inf'
d148,d148_14,3,'a0=0_0615<x<=0_1375'
d148,d148_15,3,'a0=0_0615<x<=0_1375'
d148,d148_16,3,'a0=0_0615<x<=0_1375'
d148,d148_18,3,'a0=0_0615<x<=0_1375'
d148,d148_19,8,'a0=0_1375<x<=+inf'
d148,d148_7,3,'a0=0_1375<x<=+inf'
d148,d148_8,3,'a0=0_1375<x<=+inf'
d148,d148_9,3,'a0=0_1375<x<=+inf'
d149,d149_10,3,'a0=0_0615<x<=0_1375'
d149,d149_19,3,'a0=0_0615<x<=0_1375'
d149,d149_20,3,'a0=0_0615<x<=0_1375'
d149,d149_21,3,'a0=0_0615<x<=0_1375'
d149,d149_22,3,'a0=0_0615<x<=0_1375'
d149,d149_24,3,'a0=_0_0175<x<=0_0615'
d149,d149_25,3,'a0=_0_0175<x<=0_0615'
d149,d149_26,3,'a0=_0_0175<x<=0_0615'
d149,d149_28,3,'a0=_0_0175<x<=0_0615'
d149,d149_29,3,'a0=_0_0175<x<=0_0615'
d149,d149_30,3,'a0=_0_0175<x<=0_0615'
d149,d149_32,8,'a0=0_1375<x<=+inf'
d149,d149_33,8,'a0=0_1375<x<=+inf'
d149,d149_7,3,'a0=0_0615<x<=0_1375'
d149,d149_8,3,'a0=0_0615<x<=0_1375'
d149,d149_9,3,'a0=0_0615<x<=0_1375'
d150,d150_10,3,'a0=0_0615<x<=0_1375'
d150,d150_14,3,'a0=0_0615<x<=0_1375'
d150,d150_15,3,'a0=0_0615<x<=0_1375'
d150,d150_16,3,'a0=0_0615<x<=0_1375'
d150,d150_20,3,'a0=0_0615<x<=0_1375'
d150,d150_21,3,'a0=0_0615<x<=0_1375'
d150,d150_22,3,'a0=0_0615<x<=0_1375'
d150,d150_7,3,'a0=0_0615<x<=0_1375'
d150,d150_8,3,'a0=0_0615<x<=0_1375'
d150,d150_9,3,'a0=0_0615<x<=0_1375'
d151,d151_16,8,'a0=0_1375<x<=+inf'
d151,d151_17,8,'a0=0_1375<x<=+inf'
d151,d151_18,8,'a0=0_1375<x<=+inf'
d151,d151_20,3,'a0=0_0615<x<=0_1375'
