id,car_id
t661,t661_c1
t661,t661_c2
t662,t662_c1
t662,t662_c2
t662,t662_c3
t662,t662_c4
t664,t664_c1
t664,t664_c2
t664,t664_c3
t667,t667_c1
t667,t667_c2
t667,t667_c3
t672,t672_c1
t672,t672_c2
t677,t677_c1
t677,t677_c2
t677,t677_c3
t678,t678_c1
t678,t678_c2
t680,t680_c1
t680,t680_c2
t686,t686_c1
t686,t686_c2
t686,t686_c3
t686,t686_c4
t689,t689_c1
t689,t689_c2
t689,t689_c3
t692,t692_c1
t692,t692_c2
t692,t692_c3
t696,t696_c1
t696,t696_c2
t7,t7_c1
t7,t7_c2
t7,t7_c3
t70,t70_c1
t70,t70_c2
t70,t70_c3
t70,t70_c4
t703,t703_c1
t703,t703_c2
t703,t703_c3
t703,t703_c4
t704,t704_c1
t704,t704_c2
t704,t704_c3
t708,t708_c1
t708,t708_c2
t708,t708_c3
t708,t708_c4
t71,t71_c1
t71,t71_c2
t71,t71_c3
t711,t711_c1
t711,t711_c2
t713,t713_c1
t713,t713_c2
t713,t713_c3
t714,t714_c1
t714,t714_c2
t714,t714_c3
t716,t716_c1
t716,t716_c2
t716,t716_c3
t716,t716_c4
t719,t719_c1
t719,t719_c2
t719,t719_c3
t719,t719_c4
t723,t723_c1
t723,t723_c2
t723,t723_c3
t723,t723_c4
t726,t726_c1
t726,t726_c2
t728,t728_c1
t728,t728_c2
t728,t728_c3
t729,t729_c1
t729,t729_c2
t729,t729_c3
t729,t729_c4
t730,t730_c1
t730,t730_c2
t730,t730_c3
t732,t732_c1
t732,t732_c2
t732,t732_c3
t732,t732_c4
t734,t734_c1
t734,t734_c2
t734,t734_c3
t734,t734_c4
t737,t737_c1
t737,t737_c2
t739,t739_c1
t739,t739_c2
t739,t739_c3
t739,t739_c4
t746,t746_c1
t746,t746_c2
t746,t746_c3
t748,t748_c1
t748,t748_c2
t748,t748_c3
t750,t750_c1
t750,t750_c2
t751,t751_c1
t751,t751_c2
t753,t753_c1
t753,t753_c2
t753,t753_c3
t754,t754_c1
t754,t754_c2
t757,t757_c1
t757,t757_c2
t757,t757_c3
t758,t758_c1
t758,t758_c2
t764,t764_c1
t764,t764_c2
t764,t764_c3
t764,t764_c4
t766,t766_c1
t766,t766_c2
t766,t766_c3
t767,t767_c1
t767,t767_c2
t77,t77_c1
t77,t77_c2
t77,t77_c3
t770,t770_c1
t770,t770_c2
t770,t770_c3
t775,t775_c1
t775,t775_c2
t775,t775_c3
t775,t775_c4
t776,t776_c1
t776,t776_c2
t776,t776_c3
t776,t776_c4
t778,t778_c1
t778,t778_c2
t778,t778_c3
t778,t778_c4
t781,t781_c1
t781,t781_c2
t783,t783_c1
t783,t783_c2
t784,t784_c1
t784,t784_c2
t784,t784_c3
t787,t787_c1
t787,t787_c2
t79,t79_c1
t79,t79_c2
t79,t79_c3
t791,t791_c1
t791,t791_c2
t791,t791_c3
t793,t793_c1
t793,t793_c2
t793,t793_c3
t793,t793_c4
t795,t795_c1
t795,t795_c2
t795,t795_c3
t795,t795_c4
t796,t796_c1
t796,t796_c2
t796,t796_c3
t796,t796_c4
t80,t80_c1
t80,t80_c2
t80,t80_c3
t803,t803_c1
t803,t803_c2
t803,t803_c3
t805,t805_c1
t805,t805_c2
t805,t805_c3
t809,t809_c1
t809,t809_c2
t809,t809_c3
t817,t817_c1
t817,t817_c2
t817,t817_c3
t818,t818_c1
t818,t818_c2
t818,t818_c3
t818,t818_c4
t820,t820_c1
t820,t820_c2
t822,t822_c1
t822,t822_c2
t822,t822_c3
t822,t822_c4
t824,t824_c1
t824,t824_c2
t824,t824_c3
t824,t824_c4
t83,t83_c1
t83,t83_c2
t830,t830_c1
t830,t830_c2
t833,t833_c1
t833,t833_c2
t833,t833_c3
t834,t834_c1
t834,t834_c2
t837,t837_c1
t837,t837_c2
t837,t837_c3
t837,t837_c4
t838,t838_c1
t838,t838_c2
t838,t838_c3
t838,t838_c4
t840,t840_c1
t840,t840_c2
t840,t840_c3
t840,t840_c4
t844,t844_c1
t844,t844_c2
t846,t846_c1
t846,t846_c2
t847,t847_c1
t847,t847_c2
t848,t848_c1
t848,t848_c2
t848,t848_c3
t85,t85_c1
t85,t85_c2
t85,t85_c3
t855,t855_c1
t855,t855_c2
t855,t855_c3
t855,t855_c4
t856,t856_c1
t856,t856_c2
t856,t856_c3
t856,t856_c4
t863,t863_c1
t863,t863_c2
t863,t863_c3
t864,t864_c1
t864,t864_c2
t864,t864_c3
t864,t864_c4
t867,t867_c1
t867,t867_c2
t867,t867_c3
t867,t867_c4
t869,t869_c1
t869,t869_c2
t869,t869_c3
t869,t869_c4
t871,t871_c1
t871,t871_c2
t871,t871_c3
t871,t871_c4
t876,t876_c1
t876,t876_c2
t880,t880_c1
t880,t880_c2
t880,t880_c3
t880,t880_c4
t881,t881_c1
t881,t881_c2
t883,t883_c1
t883,t883_c2
t883,t883_c3
t884,t884_c1
t884,t884_c2
t884,t884_c3
t884,t884_c4
t890,t890_c1
t890,t890_c2
t890,t890_c3
t892,t892_c1
t892,t892_c2
t892,t892_c3
t892,t892_c4
t894,t894_c1
t894,t894_c2
t894,t894_c3
t894,t894_c4
t898,t898_c1
t898,t898_c2
t899,t899_c1
t899,t899_c2
t899,t899_c3
t901,t901_c1
t901,t901_c2
t901,t901_c3
t901,t901_c4
t902,t902_c1
t902,t902_c2
t902,t902_c3
t902,t902_c4
t905,t905_c1
t905,t905_c2
t907,t907_c1
t907,t907_c2
t912,t912_c1
t912,t912_c2
t912,t912_c3
t912,t912_c4
t922,t922_c1
t922,t922_c2
t922,t922_c3
t923,t923_c1
t923,t923_c2
t927,t927_c1
t927,t927_c2
t929,t929_c1
t929,t929_c2
t929,t929_c3
t930,t930_c1
t930,t930_c2
t933,t933_c1
t933,t933_c2
t933,t933_c3
t933,t933_c4
t941,t941_c1
t941,t941_c2
t943,t943_c1
t943,t943_c2
t946,t946_c1
t946,t946_c2
t946,t946_c3
t949,t949_c1
t949,t949_c2
t949,t949_c3
t95,t95_c1
t95,t95_c2
t95,t95_c3
t954,t954_c1
t954,t954_c2
t957,t957_c1
t957,t957_c2
t957,t957_c3
t959,t959_c1
t959,t959_c2
t96,t96_c1
t96,t96_c2
t96,t96_c3
t96,t96_c4
t961,t961_c1
t961,t961_c2
t962,t962_c1
t962,t962_c2
t962,t962_c3
t966,t966_c1
t966,t966_c2
t966,t966_c3
t966,t966_c4
t967,t967_c1
t967,t967_c2
t967,t967_c3
t967,t967_c4
t970,t970_c1
t970,t970_c2
t974,t974_c1
t974,t974_c2
t977,t977_c1
t977,t977_c2
t977,t977_c3
t977,t977_c4
t978,t978_c1
t978,t978_c2
t978,t978_c3
t979,t979_c1
t979,t979_c2
t983,t983_c1
t983,t983_c2
t983,t983_c3
t983,t983_c4
t984,t984_c1
t984,t984_c2
t991,t991_c1
t991,t991_c2
t991,t991_c3
t994,t994_c1
t994,t994_c2
t999,t999_c1
t999,t999_c2
t999,t999_c3
t999,t999_c4
